,interest_rate,credit,march,may,previous,duration,y
41,0.7390000000000001,0.0,0.0,0.0,0.0,328.0,yes
42,4.963,0.0,0.0,0.0,0.0,175.0,no
43,4.857,0.0,1.0,0.0,0.0,145.0,no
44,0.884,0.0,0.0,1.0,1.0,155.0,yes
45,0.7390000000000001,0.0,0.0,1.0,0.0,115.0,yes
46,4.856,0.0,1.0,0.0,0.0,57.0,no
47,1.3130000000000002,0.0,1.0,0.0,0.0,170.0,no
48,1.281,0.0,1.0,0.0,0.0,172.0,no
49,0.7040000000000001,0.0,0.0,0.0,0.0,310.0,yes
50,4.962,0.0,0.0,0.0,0.0,711.0,no
51,4.12,0.0,0.0,0.0,0.0,63.0,no
52,4.9639999999999995,0.0,0.0,0.0,0.0,87.0,no
53,4.957,0.0,0.0,0.0,0.0,154.0,no
54,4.864,0.0,1.0,0.0,0.0,124.0,no
55,0.6829999999999999,0.0,1.0,3.0,1.0,328.0,yes
56,4.0760000000000005,0.0,0.0,0.0,0.0,147.0,no
57,0.715,0.0,0.0,3.0,1.0,64.0,yes
58,1.483,0.0,0.0,0.0,0.0,739.0,yes
59,0.682,0.0,1.0,1.0,1.0,360.0,yes
60,4.9639999999999995,0.0,0.0,0.0,0.0,105.0,no
61,1.244,0.0,1.0,0.0,0.0,113.0,no
62,1.0,0.0,0.0,0.0,0.0,767.0,yes
63,0.715,0.0,0.0,0.0,0.0,254.0,yes
64,4.97,0.0,0.0,0.0,0.0,341.0,no
65,1.3130000000000002,0.0,1.0,0.0,0.0,301.0,no
66,4.968,0.0,0.0,0.0,0.0,148.0,no
67,4.921,0.0,0.0,0.0,0.0,171.0,yes
68,1.04,0.0,0.0,1.0,1.0,712.0,yes
69,4.12,0.0,0.0,1.0,0.0,104.0,no
70,4.97,0.0,0.0,0.0,0.0,39.0,no
71,0.81,0.0,0.0,2.0,0.0,229.0,yes
72,4.962,0.0,0.0,0.0,0.0,311.0,no
73,0.635,1.0,0.0,0.0,0.0,238.0,yes
74,0.742,0.0,0.0,1.0,0.0,364.0,yes
75,1.25,0.0,1.0,0.0,0.0,133.0,no
76,1.365,0.0,0.0,0.0,0.0,261.0,yes
77,4.859,0.0,1.0,0.0,0.0,389.0,no
78,4.864,0.0,1.0,0.0,0.0,160.0,no
79,4.961,0.0,0.0,0.0,0.0,70.0,no
80,0.706,0.0,0.0,1.0,1.0,206.0,yes
81,0.73,0.0,0.0,2.0,0.0,281.0,yes
82,0.74,0.0,0.0,2.0,1.0,166.0,yes
83,4.968,0.0,0.0,0.0,0.0,299.0,no
84,4.021,0.0,0.0,1.0,0.0,258.0,no
85,4.12,0.0,0.0,1.0,0.0,1011.0,yes
86,0.722,0.0,0.0,0.0,0.0,169.0,yes
87,0.773,0.0,0.0,0.0,0.0,355.0,no
88,0.883,0.0,0.0,0.0,0.0,254.0,yes
89,4.958,0.0,0.0,0.0,0.0,96.0,no
90,4.968,0.0,0.0,0.0,0.0,217.0,no
91,4.968,0.0,0.0,0.0,0.0,85.0,yes
92,0.8540000000000001,0.0,0.0,0.0,0.0,232.0,yes
93,0.851,0.0,0.0,0.0,0.0,184.0,yes
94,1.365,0.0,0.0,0.0,0.0,571.0,yes
95,1.016,0.0,0.0,2.0,0.0,621.0,yes
96,0.884,0.0,0.0,0.0,0.0,600.0,yes
97,4.962,0.0,0.0,0.0,0.0,59.0,no
98,4.962,0.0,0.0,0.0,0.0,1130.0,yes
99,4.963,0.0,0.0,0.0,0.0,171.0,no
100,1.405,0.0,0.0,0.0,0.0,840.0,yes
101,4.965,0.0,0.0,0.0,0.0,206.0,no
102,0.715,0.0,0.0,0.0,0.0,747.0,yes
103,1.268,0.0,0.0,0.0,0.0,263.0,no
104,4.021,0.0,0.0,0.0,0.0,331.0,yes
105,1.3130000000000002,0.0,1.0,0.0,0.0,334.0,no
106,4.0760000000000005,0.0,0.0,0.0,0.0,268.0,no
107,0.723,0.0,0.0,0.0,0.0,208.0,yes
108,0.6679999999999999,0.0,1.0,3.0,1.0,268.0,yes
109,4.855,0.0,1.0,0.0,0.0,346.0,no
110,1.726,1.0,0.0,1.0,1.0,363.0,yes
111,1.405,0.0,0.0,1.0,0.0,113.0,no
112,1.291,0.0,1.0,1.0,0.0,173.0,no
113,4.1530000000000005,0.0,0.0,1.0,0.0,68.0,no
114,1.26,0.0,0.0,0.0,0.0,539.0,yes
115,4.96,0.0,0.0,0.0,0.0,35.0,no
116,4.965,0.0,0.0,0.0,0.0,119.0,no
117,1.3130000000000002,0.0,1.0,0.0,0.0,728.0,yes
118,1.27,0.0,1.0,0.0,0.0,412.0,yes
119,4.961,0.0,0.0,0.0,0.0,314.0,no
120,1.27,0.0,1.0,0.0,0.0,99.0,no
121,4.856,0.0,1.0,0.0,0.0,25.0,no
122,0.977,0.0,0.0,2.0,1.0,252.0,yes
123,1.405,0.0,0.0,0.0,0.0,1348.0,yes
124,1.291,0.0,1.0,0.0,0.0,314.0,no
125,1.344,0.0,1.0,0.0,0.0,955.0,yes
126,1.6019999999999999,1.0,0.0,0.0,0.0,224.0,yes
127,1.405,0.0,0.0,1.0,0.0,406.0,no
128,0.706,0.0,0.0,1.0,0.0,205.0,yes
129,1.406,0.0,0.0,0.0,0.0,266.0,yes
130,4.963,0.0,0.0,0.0,0.0,153.0,no
131,0.677,0.0,1.0,0.0,0.0,195.0,yes
132,0.8809999999999999,0.0,0.0,0.0,0.0,316.0,yes
133,4.966,0.0,0.0,0.0,0.0,768.0,yes
134,0.748,0.0,0.0,2.0,0.0,300.0,yes
135,4.8580000000000005,0.0,1.0,0.0,0.0,483.0,yes
136,4.968,0.0,0.0,0.0,0.0,391.0,no
137,1.072,0.0,0.0,0.0,0.0,276.0,yes
138,4.965,0.0,0.0,0.0,0.0,275.0,no
139,4.857,0.0,1.0,0.0,0.0,175.0,no
140,4.86,0.0,1.0,0.0,0.0,126.0,no
141,4.855,0.0,1.0,0.0,0.0,101.0,no
142,4.855,0.0,1.0,0.0,0.0,653.0,yes
143,0.767,0.0,0.0,0.0,0.0,286.0,yes
144,4.856,0.0,1.0,0.0,0.0,650.0,yes
145,0.652,1.0,0.0,2.0,1.0,450.0,yes
146,1.25,0.0,1.0,0.0,0.0,239.0,no
147,4.856,0.0,1.0,0.0,0.0,125.0,no
148,4.1530000000000005,0.0,0.0,0.0,0.0,1855.0,yes
149,0.884,0.0,0.0,2.0,0.0,128.0,no
150,4.8580000000000005,0.0,1.0,0.0,0.0,951.0,no
151,4.963,0.0,0.0,0.0,0.0,545.0,no
152,4.957,0.0,0.0,0.0,0.0,1019.0,yes
153,1.2990000000000002,0.0,1.0,0.0,0.0,689.0,yes
154,4.191,0.0,0.0,0.0,0.0,58.0,no
155,1.7990000000000002,1.0,0.0,0.0,0.0,156.0,yes
156,4.967,0.0,0.0,0.0,0.0,626.0,no
157,1.334,0.0,1.0,1.0,0.0,984.0,yes
158,1.344,0.0,1.0,1.0,1.0,632.0,no
159,1.25,0.0,1.0,0.0,0.0,1068.0,yes
160,0.835,0.0,0.0,3.0,1.0,309.0,yes
161,1.262,0.0,0.0,0.0,0.0,384.0,yes
162,4.97,0.0,0.0,0.0,0.0,846.0,yes
163,4.966,0.0,0.0,0.0,0.0,264.0,no
164,0.879,0.0,0.0,4.0,0.0,173.0,yes
165,4.1530000000000005,0.0,0.0,0.0,0.0,288.0,no
166,4.794,0.0,0.0,0.0,0.0,154.0,yes
167,1.268,0.0,0.0,0.0,0.0,151.0,no
168,1.3130000000000002,0.0,1.0,1.0,0.0,88.0,no
169,4.959,0.0,0.0,0.0,0.0,394.0,no
170,1.3130000000000002,0.0,1.0,0.0,0.0,474.0,no
171,0.644,0.0,0.0,1.0,1.0,330.0,yes
172,0.8959999999999999,0.0,0.0,1.0,1.0,292.0,yes
173,4.963,0.0,0.0,0.0,0.0,141.0,no
174,4.963,0.0,0.0,0.0,0.0,154.0,no
175,4.958,0.0,0.0,0.0,0.0,1150.0,yes
176,0.882,0.0,0.0,3.0,0.0,194.0,yes
177,1.6869999999999998,1.0,0.0,1.0,0.0,113.0,no
178,0.79,0.0,0.0,0.0,0.0,423.0,yes
179,0.639,1.0,0.0,2.0,1.0,222.0,yes
180,4.9639999999999995,0.0,0.0,0.0,0.0,345.0,no
181,1.327,0.0,1.0,0.0,0.0,141.0,no
182,4.963,0.0,0.0,0.0,0.0,275.0,no
183,4.966,0.0,0.0,0.0,0.0,809.0,yes
184,4.963,0.0,0.0,0.0,0.0,132.0,no
185,4.962,0.0,0.0,0.0,0.0,207.0,no
186,4.857,0.0,1.0,0.0,0.0,16.0,no
187,4.963,0.0,0.0,0.0,0.0,98.0,no
188,4.957,0.0,0.0,0.0,0.0,1806.0,yes
189,0.883,0.0,0.0,2.0,0.0,175.0,yes
190,0.715,0.0,0.0,0.0,0.0,193.0,yes
191,1.3130000000000002,0.0,1.0,0.0,0.0,374.0,no
192,1.27,0.0,1.0,0.0,0.0,86.0,no
193,0.6990000000000001,0.0,1.0,1.0,0.0,460.0,yes
194,1.05,0.0,0.0,1.0,1.0,207.0,no
195,4.959,0.0,0.0,0.0,0.0,11.0,no
196,1.423,0.0,0.0,0.0,0.0,496.0,yes
197,4.962,0.0,0.0,0.0,0.0,80.0,no
198,1.41,0.0,0.0,0.0,0.0,483.0,no
199,1.26,0.0,0.0,0.0,0.0,269.0,yes
200,4.962,0.0,0.0,0.0,0.0,149.0,no
201,4.96,0.0,0.0,0.0,0.0,617.0,yes
202,0.7709999999999999,0.0,0.0,2.0,1.0,323.0,yes
203,1.365,0.0,0.0,0.0,0.0,815.0,yes
204,4.965,0.0,0.0,0.0,0.0,126.0,no
205,4.961,0.0,0.0,0.0,0.0,267.0,no
206,1.7990000000000002,1.0,0.0,0.0,0.0,320.0,yes
207,4.963,0.0,0.0,0.0,0.0,697.0,yes
208,4.857,0.0,1.0,0.0,0.0,274.0,no
209,1.291,0.0,1.0,0.0,0.0,1062.0,yes
210,0.898,0.0,0.0,2.0,0.0,209.0,no
211,4.8580000000000005,0.0,1.0,0.0,0.0,259.0,no
212,0.715,0.0,0.0,0.0,0.0,854.0,yes
213,0.878,0.0,0.0,0.0,0.0,256.0,yes
214,4.961,0.0,0.0,0.0,0.0,82.0,no
215,4.959,0.0,0.0,0.0,0.0,693.0,yes
216,1.0290000000000001,0.0,0.0,1.0,1.0,738.0,yes
217,1.757,1.0,0.0,0.0,0.0,63.0,yes
218,1.423,0.0,0.0,0.0,0.0,207.0,yes
219,4.859,0.0,1.0,0.0,0.0,51.0,no
220,1.614,1.0,0.0,1.0,0.0,406.0,yes
221,0.889,0.0,0.0,1.0,0.0,546.0,yes
222,4.1530000000000005,0.0,0.0,1.0,0.0,64.0,no
223,4.857,0.0,1.0,0.0,0.0,158.0,no
224,1.354,0.0,1.0,0.0,0.0,742.0,yes
225,4.857,0.0,1.0,0.0,0.0,211.0,no
226,4.864,0.0,0.0,0.0,0.0,633.0,yes
227,1.531,1.0,0.0,0.0,0.0,179.0,yes
228,1.244,0.0,1.0,0.0,0.0,1340.0,yes
229,4.021,0.0,0.0,0.0,0.0,980.0,yes
230,4.966,0.0,0.0,0.0,0.0,454.0,no
231,4.857,0.0,1.0,0.0,0.0,212.0,no
232,4.865,0.0,0.0,0.0,0.0,361.0,no
233,4.962,0.0,0.0,0.0,0.0,873.0,yes
234,4.96,0.0,0.0,0.0,0.0,629.0,yes
235,0.87,0.0,0.0,0.0,0.0,1148.0,yes
236,0.7170000000000001,0.0,0.0,1.0,0.0,229.0,yes
237,1.244,0.0,1.0,1.0,0.0,202.0,no
238,1.344,0.0,1.0,0.0,0.0,342.0,no
239,1.028,0.0,0.0,0.0,0.0,383.0,no
240,4.0760000000000005,0.0,0.0,0.0,0.0,151.0,no
241,0.652,1.0,0.0,3.0,1.0,568.0,yes
242,4.859,0.0,1.0,0.0,0.0,97.0,no
243,1.281,0.0,1.0,1.0,0.0,69.0,no
244,0.898,0.0,0.0,0.0,0.0,1013.0,no
245,1.25,0.0,1.0,1.0,0.0,1357.0,yes
246,1.354,0.0,1.0,1.0,1.0,417.0,yes
247,4.021,0.0,0.0,0.0,0.0,102.0,no
248,4.957,0.0,0.0,0.0,0.0,873.0,yes
249,0.655,1.0,0.0,2.0,0.0,525.0,yes
250,4.0760000000000005,0.0,0.0,1.0,0.0,180.0,no
251,1.405,0.0,0.0,1.0,0.0,609.0,no
252,1.291,0.0,1.0,1.0,0.0,72.0,no
253,4.965,0.0,0.0,0.0,0.0,73.0,no
254,4.865,0.0,0.0,0.0,0.0,151.0,no
255,1.281,0.0,0.0,0.0,0.0,458.0,yes
256,0.7040000000000001,0.0,0.0,2.0,1.0,238.0,yes
257,1.2990000000000002,0.0,1.0,1.0,0.0,82.0,no
258,0.879,0.0,0.0,0.0,0.0,363.0,yes
259,4.966,0.0,0.0,0.0,0.0,396.0,yes
260,1.453,0.0,0.0,0.0,0.0,463.0,yes
261,0.644,0.0,0.0,0.0,0.0,634.0,yes
262,4.959,0.0,0.0,0.0,0.0,1422.0,yes
263,4.957,0.0,0.0,0.0,0.0,251.0,no
264,1.406,0.0,0.0,0.0,0.0,163.0,yes
265,4.961,0.0,0.0,0.0,0.0,135.0,no
266,1.334,0.0,1.0,0.0,0.0,345.0,no
267,1.334,0.0,1.0,0.0,0.0,144.0,no
268,4.864,0.0,0.0,0.0,0.0,525.0,no
269,4.965,0.0,0.0,0.0,0.0,388.0,yes
270,1.25,0.0,1.0,0.0,0.0,760.0,yes
271,1.392,0.0,0.0,0.0,0.0,360.0,yes
272,4.962,0.0,0.0,0.0,0.0,549.0,no
273,4.961,0.0,0.0,0.0,0.0,107.0,no
274,4.968,0.0,0.0,0.0,0.0,1311.0,yes
275,0.74,0.0,0.0,1.0,0.0,294.0,yes
276,0.904,0.0,0.0,0.0,0.0,544.0,yes
277,1.264,0.0,1.0,0.0,0.0,143.0,no
278,4.856,0.0,1.0,0.0,0.0,273.0,no
279,1.344,0.0,1.0,0.0,0.0,201.0,no
280,4.955,0.0,0.0,0.0,0.0,762.0,yes
281,1.327,0.0,1.0,0.0,0.0,143.0,no
282,4.864,0.0,1.0,0.0,0.0,886.0,yes
283,1.244,0.0,1.0,0.0,0.0,2301.0,yes
284,4.0760000000000005,0.0,0.0,0.0,0.0,252.0,no
285,4.962,0.0,0.0,0.0,0.0,958.0,no
286,4.9639999999999995,0.0,0.0,0.0,0.0,76.0,no
287,4.857,0.0,1.0,0.0,0.0,1234.0,yes
288,4.12,0.0,0.0,0.0,0.0,265.0,no
289,0.8490000000000001,0.0,0.0,1.0,0.0,204.0,yes
290,4.957,0.0,0.0,0.0,0.0,157.0,no
291,0.846,0.0,0.0,1.0,0.0,250.0,yes
292,4.857,0.0,1.0,0.0,0.0,456.0,no
293,1.41,0.0,0.0,1.0,0.0,114.0,no
294,0.898,0.0,0.0,0.0,0.0,308.0,yes
295,4.1530000000000005,0.0,0.0,0.0,0.0,154.0,no
296,1.365,0.0,0.0,1.0,1.0,185.0,no
297,4.8580000000000005,0.0,1.0,0.0,0.0,73.0,no
298,4.965,0.0,0.0,0.0,0.0,73.0,no
299,0.9590000000000001,0.0,0.0,0.0,0.0,604.0,no
300,4.8580000000000005,0.0,1.0,0.0,0.0,314.0,no
301,0.6970000000000001,0.0,1.0,0.0,0.0,196.0,yes
302,4.963,0.0,0.0,0.0,0.0,184.0,no
303,4.965,0.0,0.0,0.0,0.0,257.0,no
304,4.864,0.0,0.0,0.0,0.0,188.0,no
305,1.268,0.0,0.0,0.0,0.0,146.0,yes
306,4.856,0.0,1.0,0.0,0.0,216.0,no
307,4.965,0.0,0.0,0.0,0.0,1152.0,yes
308,1.3130000000000002,0.0,1.0,0.0,0.0,553.0,no
309,1.266,0.0,0.0,1.0,1.0,174.0,yes
310,4.96,0.0,0.0,0.0,0.0,159.0,no
311,0.7140000000000001,0.0,0.0,1.0,1.0,183.0,yes
312,4.0760000000000005,0.0,0.0,0.0,0.0,49.0,no
313,0.879,0.0,0.0,3.0,1.0,249.0,yes
314,4.864,0.0,0.0,0.0,0.0,941.0,yes
315,1.26,0.0,0.0,0.0,0.0,181.0,yes
316,4.963,0.0,0.0,0.0,0.0,988.0,yes
317,1.453,0.0,0.0,0.0,0.0,353.0,no
318,0.797,0.0,0.0,0.0,0.0,569.0,yes
319,4.855,0.0,1.0,0.0,0.0,461.0,no
320,0.716,0.0,0.0,1.0,1.0,178.0,yes
321,4.967,0.0,0.0,0.0,0.0,109.0,no
322,4.963,0.0,0.0,0.0,0.0,113.0,no
323,4.9639999999999995,0.0,0.0,0.0,0.0,111.0,no
324,4.963,0.0,0.0,0.0,0.0,73.0,no
325,0.649,1.0,0.0,4.0,1.0,213.0,yes
326,1.27,0.0,1.0,0.0,0.0,322.0,no
327,0.7140000000000001,0.0,0.0,2.0,0.0,130.0,yes
328,4.961,0.0,0.0,0.0,0.0,1424.0,yes
329,0.8270000000000001,0.0,0.0,0.0,0.0,9.0,no
330,1.3130000000000002,0.0,1.0,0.0,0.0,1276.0,yes
331,4.1530000000000005,0.0,0.0,0.0,0.0,854.0,yes
332,4.958,0.0,0.0,0.0,0.0,1319.0,yes
333,0.904,0.0,0.0,3.0,1.0,203.0,yes
334,4.864,0.0,1.0,0.0,0.0,56.0,no
335,1.048,0.0,0.0,2.0,0.0,199.0,no
336,1.262,0.0,0.0,0.0,0.0,690.0,yes
337,1.479,0.0,0.0,0.0,0.0,230.0,no
338,1.354,0.0,1.0,1.0,1.0,673.0,yes
339,0.72,0.0,0.0,4.0,1.0,458.0,yes
340,1.2990000000000002,0.0,1.0,1.0,0.0,475.0,yes
341,4.1530000000000005,0.0,0.0,0.0,0.0,135.0,no
342,1.4980000000000002,0.0,0.0,0.0,0.0,1176.0,yes
343,4.855,0.0,1.0,0.0,0.0,344.0,no
344,4.8660000000000005,0.0,0.0,0.0,0.0,40.0,no
345,0.883,0.0,0.0,1.0,1.0,219.0,yes
346,1.244,0.0,1.0,0.0,0.0,565.0,yes
347,4.967,0.0,0.0,0.0,0.0,2653.0,yes
348,0.644,0.0,0.0,1.0,1.0,218.0,yes
349,4.96,0.0,0.0,0.0,0.0,141.0,no
350,0.8270000000000001,0.0,0.0,0.0,0.0,375.0,yes
351,1.266,0.0,1.0,0.0,0.0,578.0,yes
352,4.8580000000000005,0.0,1.0,0.0,0.0,58.0,no
353,1.26,0.0,0.0,0.0,0.0,491.0,yes
354,0.899,0.0,0.0,1.0,0.0,592.0,yes
355,4.968,0.0,0.0,0.0,0.0,188.0,no
356,0.722,0.0,0.0,1.0,1.0,424.0,yes
357,1.52,1.0,0.0,0.0,0.0,163.0,yes
358,4.021,0.0,0.0,0.0,0.0,11.0,no
359,0.715,0.0,0.0,1.0,1.0,95.0,yes
360,4.957,0.0,0.0,0.0,0.0,191.0,no
361,4.966,0.0,0.0,0.0,0.0,116.0,no
362,1.41,0.0,0.0,0.0,0.0,198.0,no
363,1.281,0.0,1.0,0.0,0.0,149.0,no
364,4.12,0.0,0.0,0.0,0.0,424.0,yes
365,4.962,0.0,0.0,0.0,0.0,1009.0,yes
366,4.856,0.0,1.0,0.0,0.0,247.0,no
367,0.899,0.0,0.0,2.0,1.0,295.0,yes
368,4.9639999999999995,0.0,0.0,0.0,0.0,393.0,no
369,4.9639999999999995,0.0,0.0,0.0,0.0,155.0,no
370,1.354,0.0,1.0,0.0,0.0,1602.0,yes
371,4.856,0.0,1.0,0.0,0.0,1138.0,yes
372,1.41,0.0,0.0,0.0,0.0,285.0,yes
373,0.728,0.0,0.0,0.0,0.0,418.0,yes
374,1.03,0.0,0.0,0.0,0.0,403.0,yes
375,4.963,0.0,0.0,0.0,0.0,152.0,no
376,4.965,0.0,0.0,0.0,0.0,224.0,no
377,4.963,0.0,0.0,0.0,0.0,109.0,no
378,0.7140000000000001,0.0,0.0,0.0,0.0,805.0,yes
379,0.904,0.0,0.0,3.0,1.0,244.0,yes
380,1.281,0.0,1.0,0.0,0.0,314.0,yes
381,0.7390000000000001,0.0,0.0,0.0,0.0,233.0,yes
382,4.963,0.0,0.0,0.0,0.0,183.0,no
383,4.962,0.0,0.0,0.0,0.0,662.0,yes
384,0.843,0.0,0.0,0.0,0.0,232.0,yes
385,4.1530000000000005,0.0,0.0,1.0,0.0,180.0,no
386,1.405,0.0,0.0,0.0,0.0,336.0,no
387,1.048,0.0,0.0,2.0,0.0,74.0,no
388,4.864,0.0,0.0,0.0,0.0,148.0,no
389,0.861,0.0,0.0,0.0,0.0,405.0,yes
390,4.864,0.0,0.0,0.0,0.0,143.0,no
391,1.291,0.0,1.0,0.0,0.0,59.0,no
392,1.05,0.0,0.0,3.0,1.0,449.0,yes
393,0.797,0.0,0.0,1.0,0.0,211.0,yes
394,4.191,0.0,0.0,1.0,1.0,1091.0,yes
395,1.327,0.0,1.0,0.0,0.0,239.0,no
396,1.2990000000000002,0.0,1.0,0.0,0.0,262.0,no
397,4.856,0.0,1.0,0.0,0.0,228.0,no
398,4.963,0.0,0.0,0.0,0.0,379.0,no
399,4.967,0.0,0.0,0.0,0.0,585.0,no
400,0.7140000000000001,0.0,0.0,1.0,1.0,338.0,yes
401,1.0290000000000001,0.0,0.0,0.0,0.0,123.0,no
402,4.856,0.0,1.0,0.0,0.0,374.0,no
403,1.262,0.0,0.0,2.0,0.0,712.0,yes
404,4.856,0.0,1.0,0.0,0.0,83.0,no
405,4.857,0.0,1.0,0.0,0.0,159.0,no
406,4.864,0.0,0.0,0.0,0.0,357.0,no
407,0.904,0.0,0.0,1.0,1.0,1087.0,yes
408,1.3130000000000002,0.0,1.0,0.0,0.0,340.0,no
409,4.963,0.0,0.0,0.0,0.0,898.0,no
410,4.021,0.0,0.0,1.0,0.0,401.0,no
411,1.2590000000000001,0.0,1.0,1.0,1.0,582.0,yes
412,1.334,0.0,1.0,2.0,0.0,519.0,yes
413,4.967,0.0,0.0,0.0,0.0,455.0,yes
414,4.1530000000000005,0.0,0.0,0.0,0.0,257.0,no
415,1.268,0.0,0.0,0.0,0.0,258.0,yes
416,1.365,0.0,0.0,0.0,0.0,482.0,yes
417,4.855,0.0,1.0,0.0,0.0,42.0,no
418,4.0760000000000005,0.0,0.0,1.0,0.0,531.0,yes
419,4.963,0.0,0.0,0.0,0.0,259.0,no
420,0.879,0.0,0.0,1.0,1.0,530.0,yes
421,0.6829999999999999,0.0,1.0,4.0,1.0,289.0,yes
422,4.961,0.0,0.0,0.0,0.0,383.0,no
423,4.962,0.0,0.0,0.0,0.0,227.0,no
424,0.721,0.0,0.0,0.0,0.0,346.0,yes
425,4.021,0.0,0.0,0.0,0.0,248.0,no
426,0.883,0.0,0.0,0.0,0.0,408.0,yes
427,0.715,0.0,0.0,1.0,1.0,179.0,yes
428,1.041,0.0,0.0,0.0,0.0,344.0,yes
429,4.962,0.0,0.0,0.0,0.0,771.0,yes
430,4.963,0.0,0.0,0.0,0.0,698.0,no
431,1.415,0.0,0.0,0.0,0.0,129.0,yes
432,0.706,0.0,0.0,2.0,1.0,387.0,yes
433,4.864,0.0,0.0,0.0,0.0,404.0,no
434,4.856,0.0,1.0,0.0,0.0,270.0,no
435,4.855,0.0,1.0,0.0,0.0,241.0,no
436,4.855,0.0,1.0,0.0,0.0,135.0,no
437,1.244,0.0,1.0,0.0,0.0,317.0,no
438,4.965,0.0,0.0,0.0,0.0,286.0,no
439,1.453,0.0,0.0,0.0,0.0,895.0,yes
440,4.9639999999999995,0.0,0.0,0.0,0.0,109.0,no
441,4.966,0.0,0.0,0.0,0.0,151.0,no
442,4.865,0.0,0.0,0.0,0.0,230.0,yes
443,4.859,0.0,1.0,0.0,0.0,57.0,no
444,1.0390000000000001,0.0,0.0,5.0,1.0,655.0,yes
445,4.962,0.0,0.0,0.0,0.0,367.0,yes
446,0.773,0.0,0.0,2.0,1.0,260.0,yes
447,4.856,0.0,1.0,0.0,0.0,446.0,no
448,4.0760000000000005,0.0,0.0,0.0,0.0,653.0,yes
449,4.9639999999999995,0.0,0.0,0.0,0.0,113.0,no
450,4.966,0.0,0.0,0.0,0.0,645.0,yes
451,0.8590000000000001,0.0,0.0,1.0,0.0,587.0,yes
452,0.722,0.0,0.0,0.0,0.0,142.0,yes
453,1.281,0.0,1.0,1.0,0.0,829.0,yes
454,4.865,0.0,0.0,0.0,0.0,102.0,no
455,0.873,0.0,0.0,0.0,0.0,148.0,yes
456,0.884,0.0,0.0,1.0,1.0,1019.0,yes
457,4.962,0.0,0.0,0.0,0.0,537.0,yes
458,1.4,0.0,0.0,0.0,0.0,160.0,yes
459,1.281,0.0,1.0,1.0,1.0,204.0,no
460,4.957,0.0,0.0,0.0,0.0,164.0,no
461,1.344,0.0,1.0,1.0,0.0,523.0,no
462,0.982,0.0,0.0,0.0,0.0,362.0,yes
463,4.0760000000000005,0.0,0.0,0.0,0.0,151.0,no
464,4.97,0.0,0.0,0.0,0.0,167.0,no
465,4.962,0.0,0.0,0.0,0.0,136.0,no
466,4.963,0.0,0.0,0.0,0.0,102.0,no
467,4.864,0.0,1.0,0.0,0.0,1980.0,yes
468,1.281,0.0,0.0,0.0,0.0,243.0,yes
469,1.26,0.0,0.0,0.0,0.0,192.0,no
470,1.0490000000000002,0.0,0.0,1.0,1.0,482.0,yes
471,4.961,0.0,0.0,0.0,0.0,477.0,no
472,4.0760000000000005,0.0,0.0,0.0,0.0,252.0,no
