name,Longitude,Latitude,continent
France,-2.76172945,42.17344011,Europe
Faeroe Is.,-6.88095423,62.05385403,Europe
Micronesia,153.2394379,7.45246814,Oceania
Gabon,11.7886287,-0.58660025,Africa
United Kingdom,-2.86563164,54.12387156,Europe
Georgia,43.50780252,42.16855755,Asia
Guernsey,-2.57239064,49.46809761,Europe
Ghana,-1.21676566,7.95345644,Africa
Guinea,-10.94066612,10.43621593,Africa
Gambia,-15.39601295,13.44965244,Africa
Guinea-Bissau,-14.94972445,12.04744948,Africa
Eq. Guinea,10.34137924,1.70555135,Africa
Greece,22.95555794,39.07469623,Europe
Grenada,-61.68220189,12.11725044,North America
Greenland,-41.34191127,74.71051289,North America
Guatemala,-90.36482009,15.69403664,North America
Guam,144.7679102,13.44165626,Oceania
Guyana,-58.98202459,4.79378034,South America
Hong Kong,114.1138045,22.39827737,Asia
Heard I. and McDonald Is.,73.5205171,-53.08724656,Seven seas (open ocean)
Honduras,-86.6151661,14.82688165,North America
Croatia,16.40412899,45.08047631,Europe
Haiti,-72.68527509,18.93502563,North America
Hungary,19.39559116,47.16277506,Europe
Indonesia,117.2401137,-2.21505456,Asia
Isle of Man,-4.53873952,54.22418911,Europe
India,79.6119761,22.88578212,Asia
Indian Ocean Ter.,104.851898,-10.6478515,Asia
Br. Indian Ocean Ter.,72.44541229,-7.33059751,Seven seas (open ocean)
Ireland,-8.13793569,53.1754487,Europe
Iran,54.27407004,32.57503292,Asia
Iraq,43.74353149,33.03970582,Asia
Iceland,-18.57396167,64.99575386,Europe
Israel,35.00444693,31.46110101,Asia
Italy,12.07001339,42.79662641,Europe
Jamaica,-77.31482593,18.15694878,North America
Jersey,-2.12689938,49.21837377,Europe
Jordan,36.77136104,31.24579091,Asia
Japan,138.0308956,37.59230135,Asia
Siachen Glacier,77.18011865,35.39236325,Asia
Kazakhstan,67.29149357,48.15688067,Asia
Kenya,37.79593973,0.59988022,Africa
Kyrgyzstan,74.54165513,41.46221943,Asia
Cambodia,104.9069433,12.72004786,Asia
Kiribati,-45.61110513,0.86001503,Oceania
St. Kitts and Nevis,-62.68755265,17.2645995,North America
Korea,127.8391609,36.38523983,Asia
Kosovo,20.87249811,42.57078707,Europe
Kuwait,47.58700459,29.33431262,Asia
Lao PDR,103.7377241,18.50217433,Asia
Lebanon,35.88016072,33.92306631,Asia
Liberia,-9.32207573,6.45278492,Africa
Libya,18.00866169,27.03094495,Africa
Saint Lucia,-60.96969923,13.89479481,North America
Liechtenstein,9.53574312,47.13665835,Europe
Sri Lanka,80.70108238,7.61266509,Asia
Lesotho,28.22723131,-29.58003188,Africa
Lithuania,23.88719355,55.32610984,Europe
Luxembourg,6.07182201,49.76725361,Europe
Latvia,24.91235983,56.85085163,Europe
Macao,113.5093212,22.22311688,Asia
St-Martin,-63.05972851,18.08888611,North America
Morocco,-8.45615795,29.83762955,Africa
Monaco,7.40627677,43.75274627,Europe
Moldova,28.45673372,47.19498804,Europe
Madagascar,46.70473674,-19.37189587,Africa
Maldives,73.45713004,3.7287092,Seven seas (open ocean)
Mexico,-102.5234517,23.94753724,North America
Marshall Is.,170.3397612,7.00376358,Oceania
Macedonia,21.68211346,41.59530893,Europe
Mali,-3.54269065,17.34581581,Africa
Malta,14.40523316,35.92149632,Europe
Myanmar,96.48843321,21.18566599,Asia
Montenegro,19.23883939,42.78890259,Europe
Mongolia,103.0529977,46.82681544,Asia
N. Mariana Is.,145.6196965,15.82927563,Oceania
Mozambique,35.53367543,-17.27381643,Africa
Mauritania,-10.34779815,20.25736706,Africa
Montserrat,-62.18518546,16.73941406,North America
Mauritius,57.57120551,-20.27768704,Seven seas (open ocean)
Malawi,34.28935599,-13.21808088,Africa
Malaysia,109.6976228,3.78986846,Asia
Namibia,17.20963567,-22.13032568,Africa
New Caledonia,165.6849237,-21.29991806,Oceania
Niger,9.38545882,17.41912493,Africa
Norfolk Island,167.9492168,-29.0514609,Oceania
Nigeria,8.08943895,9.59411452,Africa
Nicaragua,-85.0305297,12.84709429,North America
Niue,-169.8699468,-19.04945708,Oceania
Netherlands,5.28144793,52.1007899,Europe
Norway,15.34834656,68.75015572,Europe
Nepal,83.9158264,28.24891365,Asia
Nauru,166.9325682,-0.51912639,Oceania
New Zealand,171.4849235,-41.81113557,Oceania
Oman,56.09166155,20.60515333,Asia
Pakistan,69.33957937,29.9497515,Asia
Panama,-80.11915156,8.51750797,North America
Pitcairn Is.,-128.317042,-24.36500535,Oceania
Peru,-74.38242685,-9.15280381,South America
Philippines,122.8839325,11.77536778,Asia
Palau,134.4080797,7.28742784,Oceania
Papua New Guinea,145.2074475,-6.46416646,Oceania
Poland,19.39012835,52.12759564,Europe
Puerto Rico,-66.47307604,18.22813055,North America
Dem. Rep. Korea,127.1924797,40.15350311,Asia
Portugal,-8.50104361,39.59550671,Europe
Paraguay,-58.40013703,-23.22823913,South America
Palestine,35.19628705,31.91613893,Asia
Fr. Polynesia,-144.9049439,-14.72227409,Oceania
Qatar,51.18479632,25.30601188,Asia
Romania,24.97293039,45.85243127,Europe
Russia,96.68656112,61.98052209,Europe
Rwanda,29.91988515,-1.99033832,Africa
W. Sahara,-12.21982755,24.22956739,Africa
Saudi Arabia,44.53686271,24.12245841,Asia
Sudan,29.94046812,15.99035669,Africa
S. Sudan,30.24790002,7.30877945,Africa
Senegal,-14.4734924,14.36624173,Africa
Singapore,103.8172559,1.35876087,Asia
S. Geo. and S. Sandw. Is.,-36.43318388,-54.46488248,Seven seas (open ocean)
Saint Helena,-9.54779416,-12.40355951,Seven seas (open ocean)
Solomon Is.,159.6328767,-8.92178022,Oceania
Sierra Leone,-11.79271247,8.56329593,Africa
El Salvador,-88.87164469,13.73943744,North America
San Marino,12.45922334,43.94186747,Europe
Somaliland,46.25198395,9.73345496,Africa
Somalia,45.70714487,4.75062876,Africa
St. Pierre and Miquelon,-56.30319779,46.91918789,North America
Serbia,20.78958334,44.2215032,Europe
Ṣo Tom̩ and Principe,6.72429658,0.44391445,Africa
Suriname,-55.9123457,4.13055413,South America
Slovakia,19.47905218,48.70547528,Europe
Slovenia,14.80444238,46.11554772,Europe
Sweden,16.74558049,62.77966519,Europe
Swaziland,31.4819369,-26.55843045,Africa
Sint Maarten,-63.05713363,18.05081728,North America
Seychelles,55.47603279,-4.66099094,Seven seas (open ocean)
Syria,38.50788204,35.02547389,Asia
Turks and Caicos Is.,-71.97387881,21.83047572,North America
Chad,18.64492513,15.33333758,Africa
Togo,0.96232845,8.52531356,Africa
Thailand,101.0028813,15.11815794,Asia
Tajikistan,71.01362631,38.5304539,Asia
Turkmenistan,59.37100021,39.11554137,Asia
Timor-Leste,125.8443898,-8.82889162,Asia
Tonga,-174.8098734,-20.42843174,Oceania
Trinidad and Tobago,-61.26567923,10.45733408,North America
Tunisia,9.55288359,34.11956246,Africa
Turkey,35.16895346,39.0616029,Asia
Taiwan,120.9542728,23.7539928,Asia
Tanzania,34.81309981,-6.27565408,Africa
Uganda,32.36907971,1.27469299,Africa
Ukraine,31.38326469,48.99656673,Europe
Uruguay,-56.01807053,-32.79951534,South America
United States,-112.4616737,45.6795472,North America
Uzbekistan,63.14001528,41.75554225,Asia
Vatican,12.43387177,41.90174985,Europe
St. Vin. and Gren.,-61.20129695,13.22472269,North America
Venezuela,-66.18184123,7.12422421,South America
British Virgin Is.,-64.47146992,18.52585755,North America
U.S. Virgin Is.,-64.80301538,17.95500624,North America
Vietnam,106.299147,16.6460167,Asia
Vanuatu,167.6864464,-16.22640909,Oceania
Wallis and Futuna Is.,-177.3483483,-13.88737039,Oceania
Samoa,-172.1648506,-13.75324346,Oceania
Yemen,47.58676189,15.90928005,Asia
South Africa,25.08390093,-29.00034095,Africa
Zambia,27.77475946,-13.45824152,Africa
Zimbabwe,29.8514412,-19.00420419,Africa
