id	pokemon	species_id	height	weight	base_experience	type_1	type_2	attack	defense	hp	special_attack	special_defense	speed	ability_1	ability_2	ability_hidden	color_1	color_2	color_f	egg_group_1	egg_group_2	url_image	generation_id	evolves_from_species_id	evolution_chain_id	shape_id	shape
34	nidoking	34	14	620	227	poison	ground	102	77	81	85	75	85	poison-point	rivalry	sheer-force	#A040A0	#E0C068	#AF5F92	monster	ground	34.png	1	33	13	6	upright
35	clefairy	35	6	75	113	fairy	NA	45	48	70	60	65	35	cute-charm	magic-guard	friend-guard	#EE99AC	NA	NA	fairy	NA	35.png	1	173	14	6	upright
36	clefable	36	13	400	217	fairy	NA	70	73	95	95	90	60	cute-charm	magic-guard	unaware	#EE99AC	NA	NA	fairy	NA	36.png	1	35	14	6	upright
37	vulpix	37	6	99	60	fire	NA	41	40	38	50	65	65	flash-fire	NA	drought	#F08030	NA	NA	ground	NA	37.png	1	NA	15	8	quadruped
38	ninetales	38	11	199	177	fire	NA	76	75	73	81	100	100	flash-fire	NA	drought	#F08030	NA	NA	ground	NA	38.png	1	37	15	8	quadruped
39	jigglypuff	39	5	55	95	normal	fairy	45	20	115	45	25	20	cute-charm	competitive	friend-guard	#A8A878	#EE99AC	#B8A484	fairy	NA	39.png	1	174	16	12	humanoid
40	wigglytuff	40	10	120	196	normal	fairy	70	45	140	85	50	45	cute-charm	competitive	frisk	#A8A878	#EE99AC	#B8A484	fairy	NA	40.png	1	39	16	12	humanoid
41	zubat	41	8	75	49	poison	flying	45	35	40	30	40	55	inner-focus	NA	infiltrator	#A040A0	#A890F0	#A153B3	flying	NA	41.png	1	NA	17	9	wings
42	golbat	42	16	550	159	poison	flying	80	70	75	65	75	90	inner-focus	NA	infiltrator	#A040A0	#A890F0	#A153B3	flying	NA	42.png	1	41	17	9	wings
43	oddish	43	5	54	64	grass	poison	50	55	45	75	65	30	chlorophyll	NA	run-away	#78C850	#A040A0	#81A763	plant	NA	43.png	1	NA	18	7	legs
44	gloom	44	8	86	138	grass	poison	65	70	60	85	75	40	chlorophyll	NA	stench	#78C850	#A040A0	#81A763	plant	NA	44.png	1	43	18	12	humanoid
45	vileplume	45	12	186	221	grass	poison	80	85	75	110	90	50	chlorophyll	NA	effect-spore	#78C850	#A040A0	#81A763	plant	NA	45.png	1	44	18	12	humanoid
46	paras	46	3	54	57	bug	grass	70	55	35	45	55	25	effect-spore	dry-skin	damp	#A8B820	#78C850	#9CBB2B	bug	plant	46.png	1	NA	19	14	armor
47	parasect	47	10	295	142	bug	grass	95	80	60	60	80	30	effect-spore	dry-skin	damp	#A8B820	#78C850	#9CBB2B	bug	plant	47.png	1	46	19	14	armor
48	venonat	48	10	300	61	bug	poison	55	50	60	40	55	45	compound-eyes	tinted-lens	run-away	#A8B820	#A040A0	#A69A3F	bug	NA	48.png	1	NA	20	12	humanoid
49	venomoth	49	15	125	158	bug	poison	65	60	70	90	75	90	shield-dust	tinted-lens	wonder-skin	#A8B820	#A040A0	#A69A3F	bug	NA	49.png	1	48	20	13	bug-wings
50	diglett	50	2	8	53	ground	NA	55	25	10	35	45	95	sand-veil	arena-trap	sand-force	#E0C068	NA	NA	ground	NA	50.png	1	NA	21	5	blob
51	dugtrio	51	7	333	142	ground	NA	80	50	35	50	70	120	sand-veil	arena-trap	sand-force	#E0C068	NA	NA	ground	NA	51.png	1	50	21	11	heads
52	meowth	52	4	42	58	normal	NA	45	35	40	40	40	90	pickup	technician	unnerve	#A8A878	NA	NA	ground	NA	52.png	1	NA	22	8	quadruped
53	persian	53	10	320	154	normal	NA	70	60	65	65	65	115	limber	technician	unnerve	#A8A878	NA	NA	ground	NA	53.png	1	52	22	8	quadruped
54	psyduck	54	8	196	64	water	NA	52	48	50	65	50	55	damp	cloud-nine	swift-swim	#6890F0	NA	NA	water1	ground	54.png	1	NA	23	6	upright
55	golduck	55	17	766	175	water	NA	82	78	80	95	80	85	damp	cloud-nine	swift-swim	#6890F0	NA	NA	water1	ground	55.png	1	54	23	6	upright
56	mankey	56	5	280	61	fighting	NA	80	35	40	35	45	70	vital-spirit	anger-point	defiant	#C03028	NA	NA	ground	NA	56.png	1	NA	24	6	upright
57	primeape	57	10	320	159	fighting	NA	105	60	65	60	70	95	vital-spirit	anger-point	defiant	#C03028	NA	NA	ground	NA	57.png	1	56	24	6	upright
58	growlithe	58	7	190	70	fire	NA	70	45	55	70	50	60	intimidate	flash-fire	justified	#F08030	NA	NA	ground	NA	58.png	1	NA	25	8	quadruped
59	arcanine	59	19	1550	194	fire	NA	110	80	90	100	80	95	intimidate	flash-fire	justified	#F08030	NA	NA	ground	NA	59.png	1	58	25	8	quadruped
60	poliwag	60	6	124	60	water	NA	50	40	40	40	40	90	water-absorb	damp	swift-swim	#6890F0	NA	NA	water1	NA	60.png	1	NA	26	7	legs
61	poliwhirl	61	10	200	135	water	NA	65	65	65	50	50	90	water-absorb	damp	swift-swim	#6890F0	NA	NA	water1	NA	61.png	1	60	26	12	humanoid
62	poliwrath	62	13	540	230	water	fighting	95	95	90	70	90	70	water-absorb	damp	swift-swim	#6890F0	#C03028	#7D78BF	water1	NA	62.png	1	61	26	12	humanoid
63	abra	63	9	195	62	psychic	NA	20	15	25	105	55	90	synchronize	inner-focus	magic-guard	#F85888	NA	NA	humanshape	NA	63.png	1	NA	27	6	upright
64	kadabra	64	13	565	140	psychic	NA	35	30	40	120	70	105	synchronize	inner-focus	magic-guard	#F85888	NA	NA	humanshape	NA	64.png	1	63	27	6	upright
65	alakazam	65	15	480	225	psychic	NA	50	45	55	135	95	120	synchronize	inner-focus	magic-guard	#F85888	NA	NA	humanshape	NA	65.png	1	64	27	12	humanoid
66	machop	66	8	195	61	fighting	NA	80	50	70	35	35	35	guts	no-guard	steadfast	#C03028	NA	NA	humanshape	NA	66.png	1	NA	28	6	upright
67	machoke	67	15	705	142	fighting	NA	100	70	80	50	60	45	guts	no-guard	steadfast	#C03028	NA	NA	humanshape	NA	67.png	1	66	28	12	humanoid
68	machamp	68	16	1300	227	fighting	NA	130	80	90	65	85	55	guts	no-guard	steadfast	#C03028	NA	NA	humanshape	NA	68.png	1	67	28	12	humanoid
69	bellsprout	69	7	40	60	grass	poison	75	35	50	70	30	40	chlorophyll	NA	gluttony	#78C850	#A040A0	#81A763	plant	NA	69.png	1	NA	29	12	humanoid
70	weepinbell	70	10	64	137	grass	poison	90	50	65	85	45	55	chlorophyll	NA	gluttony	#78C850	#A040A0	#81A763	plant	NA	70.png	1	69	29	5	blob
71	victreebel	71	17	155	221	grass	poison	105	65	80	100	70	70	chlorophyll	NA	gluttony	#78C850	#A040A0	#81A763	plant	NA	71.png	1	70	29	5	blob
72	tentacool	72	9	455	67	water	poison	40	35	40	50	100	70	clear-body	liquid-ooze	rain-dish	#6890F0	#A040A0	#757CDC	water3	NA	72.png	1	NA	30	10	tentacles
73	tentacruel	73	16	550	180	water	poison	70	65	80	80	120	100	clear-body	liquid-ooze	rain-dish	#6890F0	#A040A0	#757CDC	water3	NA	73.png	1	72	30	10	tentacles
74	geodude	74	4	200	60	rock	ground	80	100	40	30	30	20	rock-head	sturdy	sand-veil	#B8A038	#E0C068	#C1A743	mineral	NA	74.png	1	NA	31	4	arms
75	graveler	75	10	1050	137	rock	ground	95	115	55	45	45	35	rock-head	sturdy	sand-veil	#B8A038	#E0C068	#C1A743	mineral	NA	75.png	1	74	31	12	humanoid
76	golem	76	14	3000	223	rock	ground	120	130	80	55	65	45	rock-head	sturdy	sand-veil	#B8A038	#E0C068	#C1A743	mineral	NA	76.png	1	75	31	12	humanoid
77	ponyta	77	10	300	82	fire	NA	85	55	50	65	65	90	run-away	flash-fire	flame-body	#F08030	NA	NA	ground	NA	77.png	1	NA	32	8	quadruped
78	rapidash	78	17	950	175	fire	NA	100	70	65	80	80	105	run-away	flash-fire	flame-body	#F08030	NA	NA	ground	NA	78.png	1	77	32	8	quadruped
79	slowpoke	79	12	360	63	water	psychic	65	65	90	40	40	15	oblivious	own-tempo	regenerator	#6890F0	#F85888	#8A82D6	monster	water1	79.png	1	NA	33	8	quadruped
80	slowbro	80	16	785	172	water	psychic	75	110	95	100	80	30	oblivious	own-tempo	regenerator	#6890F0	#F85888	#8A82D6	monster	water1	80.png	1	79	33	6	upright
81	magnemite	81	3	60	65	electric	steel	35	70	25	95	55	45	magnet-pull	sturdy	analytic	#F8D030	#B8B8D0	#E8CA56	mineral	NA	81.png	1	NA	34	4	arms
82	magneton	82	10	600	163	electric	steel	60	95	50	120	70	70	magnet-pull	sturdy	analytic	#F8D030	#B8B8D0	#E8CA56	mineral	NA	82.png	1	81	34	11	heads
83	farfetchd	83	8	150	123	normal	flying	65	55	52	58	62	60	keen-eye	inner-focus	defiant	#A8A878	#A890F0	#A8A295	flying	ground	83.png	1	NA	35	9	wings
84	doduo	84	14	392	62	normal	flying	85	45	35	35	35	75	run-away	early-bird	tangled-feet	#A8A878	#A890F0	#A8A295	flying	NA	84.png	1	NA	36	7	legs
85	dodrio	85	18	852	161	normal	flying	110	70	60	60	60	100	run-away	early-bird	tangled-feet	#A8A878	#A890F0	#A8A295	flying	NA	85.png	1	84	36	7	legs
86	seel	86	11	900	65	water	NA	45	55	65	45	70	45	thick-fat	hydration	ice-body	#6890F0	NA	NA	water1	ground	86.png	1	NA	37	3	fish
87	dewgong	87	17	1200	166	water	ice	70	80	90	70	95	70	thick-fat	hydration	ice-body	#6890F0	#98D8D8	#73A1EA	water1	ground	87.png	1	86	37	3	fish
88	grimer	88	9	300	65	poison	NA	80	50	80	40	50	25	stench	sticky-hold	poison-touch	#A040A0	NA	NA	indeterminate	NA	88.png	1	NA	38	4	arms
89	muk	89	12	300	175	poison	NA	105	75	105	65	100	50	stench	sticky-hold	poison-touch	#A040A0	NA	NA	indeterminate	NA	89.png	1	88	38	4	arms
90	shellder	90	3	40	61	water	NA	65	100	30	45	25	40	shell-armor	skill-link	overcoat	#6890F0	NA	NA	water3	NA	90.png	1	NA	39	1	ball
91	cloyster	91	15	1325	184	water	ice	95	180	50	85	45	70	shell-armor	skill-link	overcoat	#6890F0	#98D8D8	#73A1EA	water3	NA	91.png	1	90	39	1	ball
92	gastly	92	13	1	62	ghost	poison	35	30	30	100	35	80	levitate	NA	NA	#705898	#A040A0	#7B5299	indeterminate	NA	92.png	1	NA	40	1	ball
93	haunter	93	16	1	142	ghost	poison	50	45	45	115	55	95	levitate	NA	NA	#705898	#A040A0	#7B5299	indeterminate	NA	93.png	1	92	40	4	arms
94	gengar	94	15	405	225	ghost	poison	65	60	60	130	75	110	levitate	NA	NA	#705898	#A040A0	#7B5299	indeterminate	NA	94.png	1	93	40	6	upright
95	onix	95	88	2100	77	rock	ground	45	160	35	30	45	70	rock-head	sturdy	weak-armor	#B8A038	#E0C068	#C1A743	mineral	NA	95.png	1	NA	41	2	squiggle
96	drowzee	96	10	324	66	psychic	NA	48	45	60	43	90	42	insomnia	forewarn	inner-focus	#F85888	NA	NA	humanshape	NA	96.png	1	NA	42	12	humanoid
97	hypno	97	16	756	169	psychic	NA	73	70	85	73	115	67	insomnia	forewarn	inner-focus	#F85888	NA	NA	humanshape	NA	97.png	1	96	42	12	humanoid
98	krabby	98	4	65	65	water	NA	105	90	30	25	25	50	hyper-cutter	shell-armor	sheer-force	#6890F0	NA	NA	water3	NA	98.png	1	NA	43	14	armor
99	kingler	99	13	600	166	water	NA	130	115	55	50	50	75	hyper-cutter	shell-armor	sheer-force	#6890F0	NA	NA	water3	NA	99.png	1	98	43	14	armor
100	voltorb	100	5	104	66	electric	NA	30	50	40	55	55	100	soundproof	static	aftermath	#F8D030	NA	NA	mineral	NA	100.png	1	NA	44	1	ball
101	electrode	101	12	666	168	electric	NA	50	70	60	80	80	140	soundproof	static	aftermath	#F8D030	NA	NA	mineral	NA	101.png	1	100	44	1	ball
102	exeggcute	102	4	25	65	grass	psychic	40	80	60	60	45	40	chlorophyll	NA	harvest	#78C850	#F85888	#97AC5D	plant	NA	102.png	1	NA	45	11	heads
103	exeggutor	103	20	1200	182	grass	psychic	95	85	95	125	65	55	chlorophyll	NA	harvest	#78C850	#F85888	#97AC5D	plant	NA	103.png	1	102	45	7	legs
104	cubone	104	4	65	64	ground	NA	50	95	50	40	50	35	rock-head	lightning-rod	battle-armor	#E0C068	NA	NA	monster	NA	104.png	1	NA	46	6	upright
105	marowak	105	10	450	149	ground	NA	80	110	60	50	80	45	rock-head	lightning-rod	battle-armor	#E0C068	NA	NA	monster	NA	105.png	1	104	46	6	upright
106	hitmonlee	106	15	498	159	fighting	NA	120	53	50	35	110	87	limber	reckless	unburden	#C03028	NA	NA	humanshape	NA	106.png	1	236	47	12	humanoid
107	hitmonchan	107	14	502	159	fighting	NA	105	79	50	35	110	76	keen-eye	iron-fist	inner-focus	#C03028	NA	NA	humanshape	NA	107.png	1	236	47	12	humanoid
108	lickitung	108	12	655	77	normal	NA	55	75	90	60	75	30	own-tempo	oblivious	cloud-nine	#A8A878	NA	NA	monster	NA	108.png	1	NA	48	6	upright
109	koffing	109	6	10	68	poison	NA	65	95	40	60	45	35	levitate	NA	NA	#A040A0	NA	NA	indeterminate	NA	109.png	1	NA	49	1	ball
110	weezing	110	12	95	172	poison	NA	90	120	65	85	70	60	levitate	NA	NA	#A040A0	NA	NA	indeterminate	NA	110.png	1	109	49	11	heads
111	rhyhorn	111	10	1150	69	ground	rock	85	95	80	30	30	25	lightning-rod	rock-head	reckless	#E0C068	#B8A038	#D6B85C	monster	ground	111.png	1	NA	50	8	quadruped
112	rhydon	112	19	1200	170	ground	rock	130	120	105	45	45	40	lightning-rod	rock-head	reckless	#E0C068	#B8A038	#D6B85C	monster	ground	112.png	1	111	50	6	upright
113	chansey	113	11	346	395	normal	NA	5	5	250	35	105	50	natural-cure	serene-grace	healer	#A8A878	NA	NA	fairy	NA	113.png	1	440	51	6	upright
114	tangela	114	10	350	87	grass	NA	55	115	65	100	40	60	chlorophyll	leaf-guard	regenerator	#78C850	NA	NA	plant	NA	114.png	1	NA	52	7	legs
115	kangaskhan	115	22	800	172	normal	NA	95	80	105	40	80	90	early-bird	scrappy	inner-focus	#A8A878	NA	NA	monster	NA	115.png	1	NA	53	6	upright
116	horsea	116	4	80	59	water	NA	40	70	30	70	25	60	swift-swim	sniper	damp	#6890F0	NA	NA	water1	dragon	116.png	1	NA	54	5	blob
117	seadra	117	12	250	154	water	NA	65	95	55	95	45	85	poison-point	sniper	damp	#6890F0	NA	NA	water1	dragon	117.png	1	116	54	5	blob
118	goldeen	118	6	150	64	water	NA	67	60	45	35	50	63	swift-swim	water-veil	lightning-rod	#6890F0	NA	NA	water2	NA	118.png	1	NA	55	3	fish
119	seaking	119	13	390	158	water	NA	92	65	80	65	80	68	swift-swim	water-veil	lightning-rod	#6890F0	NA	NA	water2	NA	119.png	1	118	55	3	fish
120	staryu	120	8	345	68	water	NA	45	55	30	70	55	85	illuminate	natural-cure	analytic	#6890F0	NA	NA	water3	NA	120.png	1	NA	56	5	blob
121	starmie	121	11	800	182	water	psychic	75	85	60	100	85	115	illuminate	natural-cure	analytic	#6890F0	#F85888	#8A82D6	water3	NA	121.png	1	120	56	5	blob
122	mr-mime	122	13	545	161	psychic	fairy	45	65	40	100	120	90	soundproof	filter	technician	#F85888	#EE99AC	#F56790	humanshape	NA	122.png	1	439	57	12	humanoid
123	scyther	123	15	560	100	bug	flying	110	80	70	55	80	105	swarm	technician	steadfast	#A8B820	#A890F0	#A8AE52	bug	NA	123.png	1	NA	58	13	bug-wings
124	jynx	124	14	406	159	ice	psychic	50	35	65	115	95	95	oblivious	forewarn	dry-skin	#98D8D8	#F85888	#AFB8C4	humanshape	NA	124.png	1	238	59	12	humanoid
125	electabuzz	125	11	300	172	electric	NA	83	57	65	95	85	105	static	NA	vital-spirit	#F8D030	NA	NA	humanshape	NA	125.png	1	239	60	6	upright
126	magmar	126	13	445	173	fire	NA	95	57	65	100	85	93	flame-body	NA	vital-spirit	#F08030	NA	NA	humanshape	NA	126.png	1	240	61	6	upright
127	pinsir	127	15	550	175	bug	NA	125	100	65	55	70	85	hyper-cutter	mold-breaker	moxie	#A8B820	NA	NA	bug	NA	127.png	1	NA	62	12	humanoid
128	tauros	128	14	884	172	normal	NA	100	95	75	40	70	110	intimidate	anger-point	sheer-force	#A8A878	NA	NA	ground	NA	128.png	1	NA	63	8	quadruped
129	magikarp	129	9	100	40	water	NA	10	55	20	15	20	80	swift-swim	NA	rattled	#6890F0	NA	NA	water2	dragon	129.png	1	NA	64	3	fish
130	gyarados	130	65	2350	189	water	flying	125	79	95	60	100	81	intimidate	NA	moxie	#6890F0	#A890F0	#7790F0	water2	dragon	130.png	1	129	64	2	squiggle
131	lapras	131	25	2200	187	water	ice	85	80	130	85	95	60	water-absorb	shell-armor	hydration	#6890F0	#98D8D8	#73A1EA	monster	water1	131.png	1	NA	65	3	fish
132	ditto	132	3	40	101	normal	NA	48	48	48	48	48	48	limber	NA	imposter	#A8A878	NA	NA	ditto	NA	132.png	1	NA	66	1	ball
133	eevee	133	3	65	65	normal	NA	55	50	55	45	65	55	run-away	adaptability	anticipation	#A8A878	NA	NA	ground	NA	133.png	1	NA	67	8	quadruped
134	vaporeon	134	10	290	184	water	NA	65	60	130	110	95	65	water-absorb	NA	hydration	#6890F0	NA	NA	ground	NA	134.png	1	133	67	8	quadruped
135	jolteon	135	8	245	184	electric	NA	65	60	65	110	95	130	volt-absorb	NA	quick-feet	#F8D030	NA	NA	ground	NA	135.png	1	133	67	8	quadruped
136	flareon	136	9	250	184	fire	NA	130	60	65	95	110	65	flash-fire	NA	guts	#F08030	NA	NA	ground	NA	136.png	1	133	67	8	quadruped
137	porygon	137	8	365	79	normal	NA	60	70	65	85	75	40	trace	download	analytic	#A8A878	NA	NA	mineral	NA	137.png	1	NA	68	7	legs
138	omanyte	138	4	75	71	rock	water	40	100	35	90	55	35	swift-swim	shell-armor	weak-armor	#B8A038	#6890F0	#A49C64	water1	water3	138.png	1	NA	69	10	tentacles
139	omastar	139	10	350	173	rock	water	60	125	70	115	70	55	swift-swim	shell-armor	weak-armor	#B8A038	#6890F0	#A49C64	water1	water3	139.png	1	138	69	10	tentacles
140	kabuto	140	5	115	71	rock	water	80	90	30	55	45	55	swift-swim	battle-armor	weak-armor	#B8A038	#6890F0	#A49C64	water1	water3	140.png	1	NA	70	14	armor
141	kabutops	141	13	405	173	rock	water	115	105	60	65	70	80	swift-swim	battle-armor	weak-armor	#B8A038	#6890F0	#A49C64	water1	water3	141.png	1	140	70	6	upright
142	aerodactyl	142	18	590	180	rock	flying	105	65	80	60	75	130	rock-head	pressure	unnerve	#B8A038	#A890F0	#B49C64	flying	NA	142.png	1	NA	71	9	wings
143	snorlax	143	21	4600	189	normal	NA	110	65	160	65	110	30	immunity	thick-fat	gluttony	#A8A878	NA	NA	monster	NA	143.png	1	446	72	12	humanoid
144	articuno	144	17	554	261	ice	flying	85	100	90	95	125	85	pressure	NA	snow-cloak	#98D8D8	#A890F0	#9BC6DD	no-eggs	NA	144.png	1	NA	73	9	wings
145	zapdos	145	16	526	261	electric	flying	90	85	90	125	90	100	pressure	NA	static	#F8D030	#A890F0	#E4C05E	no-eggs	NA	145.png	1	NA	74	9	wings
146	moltres	146	20	600	261	fire	flying	100	90	90	125	85	90	pressure	NA	flame-body	#F08030	#A890F0	#DE835E	no-eggs	NA	146.png	1	NA	75	9	wings
147	dratini	147	18	33	60	dragon	NA	64	45	41	50	50	50	shed-skin	NA	marvel-scale	#7038F8	NA	NA	water1	dragon	147.png	1	NA	76	2	squiggle
148	dragonair	148	40	165	147	dragon	NA	84	65	61	70	70	70	shed-skin	NA	marvel-scale	#7038F8	NA	NA	water1	dragon	148.png	1	147	76	2	squiggle
149	dragonite	149	22	2100	270	dragon	flying	134	95	91	100	100	80	inner-focus	NA	multiscale	#7038F8	#A890F0	#7D4DF6	water1	dragon	149.png	1	148	76	6	upright
150	mewtwo	150	20	1220	306	psychic	NA	110	90	106	154	90	130	pressure	NA	unnerve	#F85888	NA	NA	no-eggs	NA	150.png	1	NA	77	6	upright
151	mew	151	4	40	270	psychic	NA	100	100	100	100	100	100	synchronize	NA	NA	#F85888	NA	NA	no-eggs	NA	151.png	1	NA	78	6	upright
152	chikorita	152	9	64	64	grass	NA	49	65	45	49	65	45	overgrow	NA	leaf-guard	#78C850	NA	NA	monster	plant	152.png	2	NA	79	8	quadruped
153	bayleef	153	12	158	142	grass	NA	62	80	60	63	80	60	overgrow	NA	leaf-guard	#78C850	NA	NA	monster	plant	153.png	2	152	79	8	quadruped
154	meganium	154	18	1005	236	grass	NA	82	100	80	83	100	80	overgrow	NA	leaf-guard	#78C850	NA	NA	monster	plant	154.png	2	153	79	8	quadruped
155	cyndaquil	155	5	79	62	fire	NA	52	43	39	60	50	65	blaze	NA	flash-fire	#F08030	NA	NA	ground	NA	155.png	2	NA	80	12	humanoid
156	quilava	156	9	190	142	fire	NA	64	58	58	80	65	80	blaze	NA	flash-fire	#F08030	NA	NA	ground	NA	156.png	2	155	80	8	quadruped
157	typhlosion	157	17	795	240	fire	NA	84	78	78	109	85	100	blaze	NA	flash-fire	#F08030	NA	NA	ground	NA	157.png	2	156	80	8	quadruped
158	totodile	158	6	95	63	water	NA	65	64	50	44	48	43	torrent	NA	sheer-force	#6890F0	NA	NA	monster	water1	158.png	2	NA	81	6	upright
159	croconaw	159	11	250	142	water	NA	80	80	65	59	63	58	torrent	NA	sheer-force	#6890F0	NA	NA	monster	water1	159.png	2	158	81	6	upright
160	feraligatr	160	23	888	239	water	NA	105	100	85	79	83	78	torrent	NA	sheer-force	#6890F0	NA	NA	monster	water1	160.png	2	159	81	6	upright
161	sentret	161	8	60	43	normal	NA	46	34	35	35	45	20	run-away	keen-eye	frisk	#A8A878	NA	NA	ground	NA	161.png	2	NA	82	8	quadruped
