"id","pokemon","species_id","height","weight","base_experience","type_1","type_2","attack","defense","hp","special_attack","special_defense","speed"
163,"hoothoot",163,7,212,52,"normal","flying",30,30,60,36,56,50
164,"noctowl",164,16,408,155,"normal","flying",50,50,100,76,96,70
165,"ledyba",165,10,108,53,"bug","flying",20,30,40,40,80,55
166,"ledian",166,14,356,137,"bug","flying",35,50,55,55,110,85
167,"spinarak",167,5,85,50,"bug","poison",60,40,40,40,40,30
168,"ariados",168,11,335,137,"bug","poison",90,70,70,60,60,40
169,"crobat",169,18,750,241,"poison","flying",90,80,85,70,80,130
170,"chinchou",170,5,120,66,"water","electric",38,38,75,56,56,67
171,"lanturn",171,12,225,161,"water","electric",58,58,125,76,76,67
172,"pichu",172,3,20,41,"electric",NA,40,15,20,35,35,60
173,"cleffa",173,3,30,44,"fairy",NA,25,28,50,45,55,15
174,"igglybuff",174,3,10,42,"normal","fairy",30,15,90,40,20,15
175,"togepi",175,3,15,49,"fairy",NA,20,65,35,40,65,20
176,"togetic",176,6,32,142,"fairy","flying",40,85,55,80,105,40
177,"natu",177,2,20,64,"psychic","flying",50,45,40,70,45,70
178,"xatu",178,15,150,165,"psychic","flying",75,70,65,95,70,95
179,"mareep",179,6,78,56,"electric",NA,40,40,55,65,45,35
180,"flaaffy",180,8,133,128,"electric",NA,55,55,70,80,60,45
181,"ampharos",181,14,615,230,"electric",NA,75,85,90,115,90,55
182,"bellossom",182,4,58,221,"grass",NA,80,95,75,90,100,50
183,"marill",183,4,85,88,"water","fairy",20,50,70,20,50,40
184,"azumarill",184,8,285,189,"water","fairy",50,80,100,60,80,50
185,"sudowoodo",185,12,380,144,"rock",NA,100,115,70,30,65,30
186,"politoed",186,11,339,225,"water",NA,75,75,90,90,100,70
187,"hoppip",187,4,5,50,"grass","flying",35,40,35,35,55,50
188,"skiploom",188,6,10,119,"grass","flying",45,50,55,45,65,80
189,"jumpluff",189,8,30,207,"grass","flying",55,70,75,55,95,110
190,"aipom",190,8,115,72,"normal",NA,70,55,55,40,55,85
191,"sunkern",191,3,18,36,"grass",NA,30,30,30,30,30,30
192,"sunflora",192,8,85,149,"grass",NA,75,55,75,105,85,30
193,"yanma",193,12,380,78,"bug","flying",65,45,65,75,45,95
194,"wooper",194,4,85,42,"water","ground",45,45,55,25,25,15
195,"quagsire",195,14,750,151,"water","ground",85,85,95,65,65,35
196,"espeon",196,9,265,184,"psychic",NA,65,60,65,130,95,110
197,"umbreon",197,10,270,184,"dark",NA,65,110,95,60,130,65
198,"murkrow",198,5,21,81,"dark","flying",85,42,60,85,42,91
199,"slowking",199,20,795,172,"water","psychic",75,80,95,100,110,30
200,"misdreavus",200,7,10,87,"ghost",NA,60,60,60,85,85,85
201,"unown",201,5,50,118,"psychic",NA,72,48,48,72,48,48
202,"wobbuffet",202,13,285,142,"psychic",NA,33,58,190,33,58,33
203,"girafarig",203,15,415,159,"normal","psychic",80,65,70,90,65,85
204,"pineco",204,6,72,58,"bug",NA,65,90,50,35,35,15
205,"forretress",205,12,1258,163,"bug","steel",90,140,75,60,60,40
206,"dunsparce",206,15,140,145,"normal",NA,70,70,100,65,65,45
207,"gligar",207,11,648,86,"ground","flying",75,105,65,35,65,85
208,"steelix",208,92,4000,179,"steel","ground",85,200,75,55,65,30
209,"snubbull",209,6,78,60,"fairy",NA,80,50,60,40,40,30
210,"granbull",210,14,487,158,"fairy",NA,120,75,90,60,60,45
211,"qwilfish",211,5,39,86,"water","poison",95,75,65,55,55,85
212,"scizor",212,18,1180,175,"bug","steel",130,100,70,55,80,65
213,"shuckle",213,6,205,177,"bug","rock",10,230,20,10,230,5
214,"heracross",214,15,540,175,"bug","fighting",125,75,80,40,95,85
215,"sneasel",215,9,280,86,"dark","ice",95,55,55,35,75,115
216,"teddiursa",216,6,88,66,"normal",NA,80,50,60,50,50,40
217,"ursaring",217,18,1258,175,"normal",NA,130,75,90,75,75,55
218,"slugma",218,7,350,50,"fire",NA,40,40,40,70,40,20
219,"magcargo",219,8,550,144,"fire","rock",50,120,50,80,80,30
220,"swinub",220,4,65,50,"ice","ground",50,40,50,30,30,50
221,"piloswine",221,11,558,158,"ice","ground",100,80,100,60,60,50
222,"corsola",222,6,50,133,"water","rock",55,85,55,65,85,35
223,"remoraid",223,6,120,60,"water",NA,65,35,35,65,35,65
224,"octillery",224,9,285,168,"water",NA,105,75,75,105,75,45
225,"delibird",225,9,160,116,"ice","flying",55,45,45,65,45,75
226,"mantine",226,21,2200,163,"water","flying",40,70,65,80,140,70
227,"skarmory",227,17,505,163,"steel","flying",80,140,65,40,70,70
228,"houndour",228,6,108,66,"dark","fire",60,30,45,80,50,65
229,"houndoom",229,14,350,175,"dark","fire",90,50,75,110,80,95
230,"kingdra",230,18,1520,243,"water","dragon",95,95,75,95,95,85
231,"phanpy",231,5,335,66,"ground",NA,60,60,90,40,40,40
232,"donphan",232,11,1200,175,"ground",NA,120,120,90,60,60,50
233,"porygon2",233,6,325,180,"normal",NA,80,90,85,105,95,60
234,"stantler",234,14,712,163,"normal",NA,95,62,73,85,65,85
235,"smeargle",235,12,580,88,"normal",NA,20,35,55,20,45,75
236,"tyrogue",236,7,210,42,"fighting",NA,35,35,35,35,35,35
237,"hitmontop",237,14,480,159,"fighting",NA,95,95,50,35,110,70
238,"smoochum",238,4,60,61,"ice","psychic",30,15,45,85,65,65
239,"elekid",239,6,235,72,"electric",NA,63,37,45,65,55,95
240,"magby",240,7,214,73,"fire",NA,75,37,45,70,55,83
241,"miltank",241,12,755,172,"normal",NA,80,105,95,40,70,100
242,"blissey",242,15,468,608,"normal",NA,10,10,255,75,135,55
243,"raikou",243,19,1780,261,"electric",NA,85,75,90,115,100,115
244,"entei",244,21,1980,261,"fire",NA,115,85,115,90,75,100
245,"suicune",245,20,1870,261,"water",NA,75,115,100,90,115,85
246,"larvitar",246,6,720,60,"rock","ground",64,50,50,45,50,41
247,"pupitar",247,12,1520,144,"rock","ground",84,70,70,65,70,51
248,"tyranitar",248,20,2020,270,"rock","dark",134,110,100,95,100,61
249,"lugia",249,52,2160,306,"psychic","flying",90,130,106,90,154,110
250,"ho-oh",250,38,1990,306,"fire","flying",130,90,106,110,154,90
251,"celebi",251,6,50,270,"psychic","grass",100,100,100,100,100,100
252,"treecko",252,5,50,62,"grass",NA,45,35,40,65,55,70
253,"grovyle",253,9,216,142,"grass",NA,65,45,50,85,65,95
254,"sceptile",254,17,522,239,"grass",NA,85,65,70,105,85,120
255,"torchic",255,4,25,62,"fire",NA,60,40,45,70,50,45
256,"combusken",256,9,195,142,"fire","fighting",85,60,60,85,60,55
257,"blaziken",257,19,520,239,"fire","fighting",120,70,80,110,70,80
258,"mudkip",258,4,76,62,"water",NA,70,50,50,50,50,40
259,"marshtomp",259,7,280,142,"water","ground",85,70,70,60,70,50
260,"swampert",260,15,819,241,"water","ground",110,90,100,85,90,60
261,"poochyena",261,5,136,44,"dark",NA,55,35,35,30,30,35
262,"mightyena",262,10,370,147,"dark",NA,90,70,70,60,60,70
263,"zigzagoon",263,4,175,48,"normal",NA,30,41,38,30,41,60
264,"linoone",264,5,325,147,"normal",NA,70,61,78,50,61,100
265,"wurmple",265,3,36,39,"bug",NA,45,35,45,20,30,20
266,"silcoon",266,6,100,72,"bug",NA,35,55,50,25,25,15
267,"beautifly",267,10,284,178,"bug","flying",70,50,60,100,50,65
268,"cascoon",268,7,115,41,"bug",NA,35,55,50,25,25,15
269,"dustox",269,12,316,135,"bug","poison",50,70,60,50,90,65
270,"lotad",270,5,26,44,"water","grass",30,30,40,40,50,30
271,"lombre",271,12,325,119,"water","grass",50,50,60,60,70,50
272,"ludicolo",272,15,550,216,"water","grass",70,70,80,90,100,70
273,"seedot",273,5,40,44,"grass",NA,40,50,40,30,30,30
274,"nuzleaf",274,10,280,119,"grass","dark",70,40,70,60,40,60
275,"shiftry",275,13,596,216,"grass","dark",100,60,90,90,60,80
276,"taillow",276,3,23,54,"normal","flying",55,30,40,30,30,85
277,"swellow",277,7,198,151,"normal","flying",85,60,60,50,50,125
278,"wingull",278,6,95,54,"water","flying",30,30,40,55,30,85
279,"pelipper",279,12,280,151,"water","flying",50,100,60,85,70,65
280,"ralts",280,4,66,40,"psychic","fairy",25,25,28,45,35,40
281,"kirlia",281,8,202,97,"psychic","fairy",35,35,38,65,55,50
282,"gardevoir",282,16,484,233,"psychic","fairy",65,65,68,125,115,80
283,"surskit",283,5,17,54,"bug","water",30,32,40,50,52,65
284,"masquerain",284,8,36,145,"bug","flying",60,62,70,80,82,60
285,"shroomish",285,4,45,59,"grass",NA,40,60,60,40,60,35
286,"breloom",286,12,392,161,"grass","fighting",130,80,60,60,60,70
287,"slakoth",287,8,240,56,"normal",NA,60,60,60,35,35,30
288,"vigoroth",288,14,465,154,"normal",NA,80,80,80,55,55,90
289,"slaking",289,20,1305,252,"normal",NA,160,100,150,95,65,100
290,"nincada",290,5,55,53,"bug","ground",45,90,31,30,30,40
291,"ninjask",291,8,120,160,"bug","flying",90,45,61,50,50,160
292,"shedinja",292,8,12,83,"bug","ghost",90,45,1,30,30,40
293,"whismur",293,6,163,48,"normal",NA,51,23,64,51,23,28
294,"loudred",294,10,405,126,"normal",NA,71,43,84,71,43,48
295,"exploud",295,15,840,221,"normal",NA,91,63,104,91,73,68
296,"makuhita",296,10,864,47,"fighting",NA,60,30,72,20,30,25
297,"hariyama",297,23,2538,166,"fighting",NA,120,60,144,40,60,50
298,"azurill",298,2,20,38,"normal","fairy",20,40,50,20,40,20
299,"nosepass",299,10,970,75,"rock",NA,45,135,30,45,90,30
300,"skitty",300,6,110,52,"normal",NA,45,45,50,35,35,50
301,"delcatty",301,11,326,133,"normal",NA,65,65,70,55,55,70
302,"sableye",302,5,110,133,"dark","ghost",75,75,50,65,65,50
303,"mawile",303,6,115,133,"steel","fairy",85,85,50,55,55,50
304,"aron",304,4,600,66,"steel","rock",70,100,50,40,40,30
305,"lairon",305,9,1200,151,"steel","rock",90,140,60,50,50,40
306,"aggron",306,21,3600,239,"steel","rock",110,180,70,60,60,50
307,"meditite",307,6,112,56,"fighting","psychic",40,55,30,40,55,60
308,"medicham",308,13,315,144,"fighting","psychic",60,75,60,60,75,80
309,"electrike",309,6,152,59,"electric",NA,45,40,40,65,40,65
310,"manectric",310,15,402,166,"electric",NA,75,60,70,105,60,105
311,"plusle",311,4,42,142,"electric",NA,50,40,60,85,75,95
312,"minun",312,4,42,142,"electric",NA,40,50,60,75,85,95
313,"volbeat",313,7,177,140,"bug",NA,73,55,65,47,75,85
314,"illumise",314,6,177,140,"bug",NA,47,55,65,73,75,85
315,"roselia",315,3,20,140,"grass","poison",60,45,50,100,80,65
316,"gulpin",316,4,103,60,"poison",NA,43,53,70,43,53,40
317,"swalot",317,17,800,163,"poison",NA,73,83,100,73,83,55
318,"carvanha",318,8,208,61,"water","dark",90,20,45,65,20,65
319,"sharpedo",319,18,888,161,"water","dark",120,40,70,95,40,95
320,"wailmer",320,20,1300,80,"water",NA,70,35,130,70,35,60
321,"wailord",321,145,3980,175,"water",NA,90,45,170,90,45,60
322,"numel",322,7,240,61,"fire","ground",60,40,60,65,45,35
323,"camerupt",323,19,2200,161,"fire","ground",100,70,70,105,75,40
324,"torkoal",324,5,804,165,"fire",NA,85,140,70,85,70,20
325,"spoink",325,7,306,66,"psychic",NA,25,35,60,70,80,60
326,"grumpig",326,9,715,165,"psychic",NA,45,65,80,90,110,80
327,"spinda",327,11,50,126,"normal",NA,60,60,60,60,60,60
328,"trapinch",328,7,150,58,"ground",NA,100,45,45,45,45,10
329,"vibrava",329,11,153,119,"ground","dragon",70,50,50,50,50,70
330,"flygon",330,20,820,234,"ground","dragon",100,80,80,80,80,100
331,"cacnea",331,4,513,67,"grass",NA,85,40,50,85,40,35
332,"cacturne",332,13,774,166,"grass","dark",115,60,70,115,60,55
333,"swablu",333,4,12,62,"normal","flying",40,60,45,40,75,50
334,"altaria",334,11,206,172,"dragon","flying",70,90,75,70,105,80
335,"zangoose",335,13,403,160,"normal",NA,115,60,73,60,60,90
336,"seviper",336,27,525,160,"poison",NA,100,60,73,100,60,65
337,"lunatone",337,10,1680,154,"rock","psychic",55,65,70,95,85,70
338,"solrock",338,12,1540,154,"rock","psychic",95,85,70,55,65,70
339,"barboach",339,4,19,58,"water","ground",48,43,50,46,41,60
340,"whiscash",340,9,236,164,"water","ground",78,73,110,76,71,60
341,"corphish",341,6,115,62,"water",NA,80,65,43,50,35,35
342,"crawdaunt",342,11,328,164,"water","dark",120,85,63,90,55,55
343,"baltoy",343,5,215,60,"ground","psychic",40,55,40,40,70,55
344,"claydol",344,15,1080,175,"ground","psychic",70,105,60,70,120,75
345,"lileep",345,10,238,71,"rock","grass",41,77,66,61,87,23
346,"cradily",346,15,604,173,"rock","grass",81,97,86,81,107,43
347,"anorith",347,7,125,71,"rock","bug",95,50,45,40,50,75
348,"armaldo",348,15,682,173,"rock","bug",125,100,75,70,80,45
349,"feebas",349,6,74,40,"water",NA,15,20,20,10,55,80
350,"milotic",350,62,1620,189,"water",NA,60,79,95,100,125,81
351,"castform",351,3,8,147,"normal",NA,70,70,70,70,70,70
352,"kecleon",352,10,220,154,"normal",NA,90,70,60,60,120,40
353,"shuppet",353,6,23,59,"ghost",NA,75,35,44,63,33,45
354,"banette",354,11,125,159,"ghost",NA,115,65,64,83,63,65
355,"duskull",355,8,150,59,"ghost",NA,40,90,20,30,90,25
356,"dusclops",356,16,306,159,"ghost",NA,70,130,40,60,130,25
357,"tropius",357,20,1000,161,"grass","flying",68,83,99,72,87,51
358,"chimecho",358,6,10,149,"psychic",NA,50,70,65,95,80,65
359,"absol",359,12,470,163,"dark",NA,130,60,65,75,60,75
360,"wynaut",360,6,140,52,"psychic",NA,23,48,95,23,48,23
361,"snorunt",361,7,168,60,"ice",NA,50,50,50,50,50,50
362,"glalie",362,15,2565,168,"ice",NA,80,80,80,80,80,80
363,"spheal",363,8,395,58,"ice","water",40,50,70,55,50,25
364,"sealeo",364,11,876,144,"ice","water",60,70,90,75,70,45
365,"walrein",365,14,1506,239,"ice","water",80,90,110,95,90,65
366,"clamperl",366,4,525,69,"water",NA,64,85,35,74,55,32
367,"huntail",367,17,270,170,"water",NA,104,105,55,94,75,52
368,"gorebyss",368,18,226,170,"water",NA,84,105,55,114,75,52
369,"relicanth",369,10,234,170,"water","rock",90,130,100,45,65,55
370,"luvdisc",370,6,87,116,"water",NA,30,55,43,40,65,97
371,"bagon",371,6,421,60,"dragon",NA,75,60,45,40,30,50
372,"shelgon",372,11,1105,147,"dragon",NA,95,100,65,60,50,50
373,"salamence",373,15,1026,270,"dragon","flying",135,80,95,110,80,100
374,"beldum",374,6,952,60,"steel","psychic",55,80,40,35,60,30
375,"metang",375,12,2025,147,"steel","psychic",75,100,60,55,80,50
376,"metagross",376,16,5500,270,"steel","psychic",135,130,80,95,90,70
377,"regirock",377,17,2300,261,"rock",NA,100,200,80,50,100,50
378,"regice",378,18,1750,261,"ice",NA,50,100,80,100,200,50
379,"registeel",379,19,2050,261,"steel",NA,75,150,80,75,150,50
380,"latias",380,14,400,270,"dragon","psychic",80,90,80,110,130,110
381,"latios",381,20,600,270,"dragon","psychic",90,80,80,130,110,110
382,"kyogre",382,45,3520,302,"water",NA,100,90,100,150,140,90
383,"groudon",383,35,9500,302,"ground",NA,150,140,100,100,90,90
384,"rayquaza",384,70,2065,306,"dragon","flying",150,90,105,150,90,95
385,"jirachi",385,3,11,270,"steel","psychic",100,100,100,100,100,100
386,"deoxys-normal",386,17,608,270,"psychic",NA,150,50,50,150,50,150
387,"turtwig",387,4,102,64,"grass",NA,68,64,55,45,55,31
388,"grotle",388,11,970,142,"grass",NA,89,85,75,55,65,36
389,"torterra",389,22,3100,236,"grass","ground",109,105,95,75,85,56
390,"chimchar",390,5,62,62,"fire",NA,58,44,44,58,44,61
391,"monferno",391,9,220,142,"fire","fighting",78,52,64,78,52,81
392,"infernape",392,12,550,240,"fire","fighting",104,71,76,104,71,108
393,"piplup",393,4,52,63,"water",NA,51,53,53,61,56,40
394,"prinplup",394,8,230,142,"water",NA,66,68,64,81,76,50
395,"empoleon",395,17,845,239,"water","steel",86,88,84,111,101,60
396,"starly",396,3,20,49,"normal","flying",55,30,40,30,30,60
397,"staravia",397,6,155,119,"normal","flying",75,50,55,40,40,80
398,"staraptor",398,12,249,218,"normal","flying",120,70,85,50,60,100
