"State","region","Date","Home.Value","Structure.Cost","Land.Value","Land.Share..Pct.","Home.Price.Index","Land.Price.Index","Year","Qrtr"
"AK","West",1994,130145,93522,36623,28.1,0.857,0.775,1993,4
"AK","West",1994.25,131099,94109,36990,28.2,0.863,0.783,1994,1
"AK","West",1994.5,131953,94857,37097,28.1,0.868,0.786,1994,2
"AK","West",1994.75,132813,95654,37158,28,0.874,0.788,1994,3
"AK","West",1995,133753,96419,37334,27.9,0.88,0.792,1994,4
"AK","West",1995.25,134880,97070,37810,28,0.888,0.805,1995,1
"AK","West",1975.25,52332,29171,23161,44.3,0.344,0.322,1975,1
"AK","West",1975.5,55546,30453,25094,45.2,0.366,0.355,1975,2
"AK","West",1975.75,58510,31854,26656,45.6,0.385,0.384,1975,3
"AK","West",1976,61176,33294,27882,45.6,0.403,0.407,1975,4
"AK","West",1976.25,63457,34648,28809,45.4,0.418,0.427,1976,1
"AK","West",1976.5,65331,35867,29464,45.1,0.43,0.441,1976,2
"AK","West",1976.75,66681,36963,29718,44.6,0.439,0.449,1976,3
"AK","West",1977,67603,37910,29693,43.9,0.445,0.451,1976,4
"AK","West",1977.25,68429,38519,29910,43.7,0.45,0.453,1977,1
"AK","West",1977.5,69322,39262,30059,43.4,0.456,0.457,1977,2
"AK","West",1977.75,70521,39992,30529,43.3,0.464,0.466,1977,3
"AK","West",1978,72134,40751,31382,43.5,0.475,0.481,1977,4
"AK","West",1978.25,74190,41757,32433,43.7,0.488,0.501,1978,1
"AK","West",1978.5,76641,42776,33865,44.2,0.504,0.526,1978,2
"AK","West",1978.75,79154,43946,35208,44.5,0.521,0.549,1978,3
"AK","West",1979,81456,45321,36135,44.4,0.536,0.565,1978,4
"AK","West",1979.25,83378,46711,36667,44,0.549,0.574,1979,1
"AK","West",1979.5,84540,48208,36331,43,0.556,0.57,1979,2
"AK","West",1979.75,84443,49540,34903,41.3,0.556,0.549,1979,3
"AK","West",1980,83268,50484,32784,39.4,0.548,0.516,1979,4
"AK","West",1980.25,81447,50784,30663,37.6,0.536,0.482,1980,1
"AK","West",1980.5,79814,50858,28956,36.3,0.525,0.457,1980,2
"AK","West",1980.75,80206,50823,29383,36.6,0.528,0.466,1980,3
"AK","West",1981,83673,50925,32748,39.1,0.551,0.522,1980,4
"AK","West",1981.25,89512,51501,38011,42.5,0.589,0.61,1981,1
"AK","West",1981.5,97167,52468,44700,46,0.64,0.724,1981,2
"AK","West",1981.75,105324,53770,51553,48.9,0.693,0.844,1981,3
"AK","West",1982,112984,55365,57619,51,0.744,0.954,1981,4
"AK","West",1982.25,119352,57329,62024,52,0.786,1.042,1982,1
"AK","West",1982.5,124236,59317,64918,52.3,0.818,1.105,1982,2
"AK","West",2002.75,170479,117290,53189,31.2,1.122,1.207,2002,3
"AK","West",2003,172974,117697,55277,32,1.138,1.258,2002,4
"AK","West",2003.25,175648,118060,57588,32.8,1.156,1.314,2003,1
"AK","West",2003.5,178566,118401,60165,33.7,1.175,1.377,2003,2
"AK","West",2003.75,181854,119204,62650,34.5,1.197,1.438,2003,3
"AK","West",2004,185565,120943,64622,34.8,1.221,1.488,2003,4
"AK","West",2004.25,189589,123856,65733,34.7,1.248,1.518,2004,1
"AK","West",2004.5,193883,127564,66319,34.2,1.276,1.536,2004,2
"AK","West",2004.75,198513,131520,66993,33.7,1.307,1.555,2004,3
"AK","West",2005,203372,135147,68225,33.5,1.339,1.587,2004,4
"AK","West",2005.25,208336,137763,70573,33.9,1.371,1.644,2005,1
"AK","West",2005.5,213254,139841,73413,34.4,1.404,1.714,2005,2
"AK","West",2005.75,217997,141679,76318,35,1.435,1.786,2005,3
"AK","West",2006,222350,143604,78746,35.4,1.463,1.846,2005,4
"AK","West",2006.25,226205,145849,80356,35.5,1.489,1.888,2006,1
"AK","West",2006.5,229457,148187,81270,35.4,1.51,1.913,2006,2
"AK","West",2006.75,232018,150299,81718,35.2,1.527,1.927,2006,3
"AK","West",2007,233911,151866,82046,35.1,1.54,1.939,2006,4
"AK","West",2007.25,235143,152866,82276,35,1.548,1.949,2007,1
"AK","West",2007.5,235638,153455,82183,34.9,1.551,1.95,2007,2
"AK","West",2007.75,235356,154137,81219,34.5,1.549,1.93,2007,3
"AK","West",2001.25,156664,110027,46637,29.8,1.031,1.041,2001,1
"AK","West",2001.5,158847,111431,47415,29.8,1.045,1.062,2001,2
"AK","West",2001.75,161139,112884,48255,29.9,1.061,1.084,2001,3
"AK","West",2002,163439,114321,49118,30.1,1.076,1.107,2001,4
"AK","West",2002.25,165712,115469,50243,30.3,1.091,1.134,2002,1
"AK","West",2002.5,168051,116512,51538,30.7,1.106,1.166,2002,2
"AK","West",2000.5,151936,106572,45364,29.9,1,1,2000,2
"AK","West",2000.75,153173,107481,45692,29.8,1.008,1.009,2000,3
"AK","West",2000,150376,105369,45007,29.9,0.99,0.994,1999,4
"AK","West",2000.25,150995,105829,45166,29.9,0.994,0.994,2000,1
"AK","West",2001,154736,108588,46148,29.8,1.018,1.023,2000,4
"AL","South",1975.75,25342,24075,1267,5,0.227,0,1975,3
"AL","South",1976,25779,24490,1289,5,0.231,0,1975,4
"AL","South",1976.25,26343,25026,1317,5,0.236,0,1976,1
"AL","South",1976.5,26981,25631,1349,5,0.242,0,1976,2
"AL","South",1976.75,27696,26156,1540,5.6,0.248,0,1976,3
"AL","South",1977,28492,26674,1818,6.4,0.255,0,1976,4
"AL","South",1977.25,29353,27217,2136,7.3,0.263,0,1977,1
"AL","South",1977.5,30256,27804,2452,8.1,0.271,0.001,1977,2
"AL","South",1975.25,24648,23416,1232,5,0.221,0,1975,1
"AL","South",1975.5,24970,23721,1248,5,0.224,0,1975,2
"AL","South",1985.75,53321,50655,2666,5,0.477,0.005,1985,3
"AL","South",1986,54280,51566,2714,5,0.486,0.006,1985,4
"AL","South",1986.25,55295,52530,2765,5,0.495,0.007,1986,1
"AL","South",1986.5,56356,53538,2818,5,0.504,0.009,1986,2
"AL","South",1986.75,57427,54556,2871,5,0.514,0.011,1986,3
"AL","South",1987,58462,55539,2923,5,0.523,0.015,1986,4
"AL","South",1987.25,59414,56444,2971,5,0.532,0.018,1987,1
"AL","South",1987.5,60255,57242,3013,5,0.539,0.021,1987,2
"AL","South",1987.75,60986,57937,3049,5,0.546,0.025,1987,3
"AL","South",1988,61646,58563,3082,5,0.552,0.028,1987,4
"AL","South",1988.25,62281,59167,3114,5,0.558,0.031,1988,1
"AL","South",1988.5,62843,59700,3142,5,0.563,0.034,1988,2
"AL","South",1988.75,63331,60164,3167,5,0.567,0.036,1988,3
"AL","South",1989,63805,60615,3190,5,0.571,0.037,1988,4
"AL","South",1989.25,64346,61129,3217,5,0.576,0.04,1989,1
"AL","South",1989.5,64975,61726,3249,5,0.582,0.043,1989,2
"AL","South",1989.75,65656,62373,3283,5,0.588,0.048,1989,3
"AL","South",1990,66319,63003,3316,5,0.594,0.053,1989,4
"AL","South",1990.25,66945,63597,3347,5,0.599,0.059,1990,1
"AL","South",1990.5,67566,64188,3378,5,0.605,0.065,1990,2
"AL","South",1990.75,68128,64722,3406,5,0.61,0.072,1990,3
"AL","South",1991,68741,65304,3437,5,0.615,0.08,1990,4
"AL","South",1991.25,69437,65965,3472,5,0.622,0.09,1991,1
"AL","South",1991.5,70215,66704,3511,5,0.629,0.102,1991,2
"AL","South",1991.75,71060,67507,3553,5,0.636,0.119,1991,3
"AL","South",1992,71970,68025,3945,5.5,0.644,0.141,1991,4
"AL","South",1992.25,72946,68248,4698,6.4,0.653,0.168,1992,1
"AL","South",1992.5,73984,68451,5533,7.5,0.662,0.198,1992,2
"AL","South",1992.75,75103,68687,6416,8.5,0.672,0.23,1992,3
"AL","South",1993,76275,69007,7269,9.5,0.683,0.261,1992,4
"AL","South",1993.25,77470,69417,8053,10.4,0.693,0.288,1993,1
"AL","South",1993.5,78681,69923,8758,11.1,0.704,0.314,1993,2
"AL","South",1993.75,79918,70450,9469,11.8,0.715,0.339,1993,3
"AL","South",1994,81161,70940,10221,12.6,0.727,0.366,1993,4
"AL","South",1994.25,82388,71352,11036,13.4,0.737,0.396,1994,1
"AL","South",1994.5,83574,71728,11846,14.2,0.748,0.426,1994,2
"AL","South",1994.75,84698,72125,12573,14.8,0.758,0.452,1994,3
"AL","South",1995,85783,72602,13182,15.4,0.768,0.475,1994,4
"AL","South",1995.25,86854,73232,13622,15.7,0.777,0.493,1995,1
"AL","South",1995.5,87942,73926,14016,15.9,0.787,0.509,1995,2
"AL","South",1995.75,89068,74660,14407,16.2,0.797,0.524,1995,3
"AL","South",1996,90219,75392,14827,16.4,0.808,0.54,1995,4
"AL","South",1996.25,91392,76003,15389,16.8,0.818,0.56,1996,1
"AL","South",1996.5,92567,76568,15999,17.3,0.829,0.583,1996,2
"AL","South",1996.75,93706,77047,16659,17.8,0.839,0.608,1996,3
"AL","South",1997,94810,77415,17395,18.3,0.849,0.636,1996,4
"AL","South",1997.25,95874,77737,18137,18.9,0.858,0.665,1997,1
"AL","South",1997.5,96911,78024,18887,19.5,0.868,0.694,1997,2
"AL","South",1997.75,97972,78375,19598,20,0.877,0.722,1997,3
"AL","South",1998,99081,78888,20192,20.4,0.887,0.745,1997,4
"AL","South",1998.25,100277,79645,20633,20.6,0.898,0.764,1998,1
"AL","South",1998.5,101564,80527,21037,20.7,0.909,0.781,1998,2
"AL","South",1998.75,102910,81449,21461,20.9,0.921,0.799,1998,3
"AL","South",1999,104270,82305,21965,21.1,0.933,0.819,1998,4
"AL","South",1999.25,105597,82954,22643,21.4,0.945,0.846,1999,1
"AL","South",1999.5,106889,83466,23424,21.9,0.957,0.876,1999,2
"AL","South",1999.75,108151,83881,24270,22.4,0.968,0.909,1999,3
"AL","South",2000,109388,84237,25150,23,0.979,0.942,1999,4
"AL","South",2000.25,110578,84573,26005,23.5,0.99,0.972,2000,1
"AL","South",2000.5,111712,84998,26714,23.9,1,1,2000,2
"AL","South",2000.75,112818,85484,27334,24.2,1.01,1.025,2000,3
"AL","South",2001,113938,86057,27881,24.5,1.02,1.048,2000,4
"AL","South",2001.25,115113,86846,28267,24.6,1.03,1.068,2001,1
"AL","South",2001.5,116339,87622,28717,24.7,1.041,1.088,2001,2
"AL","South",2001.75,117608,88464,29144,24.8,1.053,1.106,2001,3
"AL","South",2002,118935,89365,29569,24.9,1.065,1.123,2001,4
"AL","South",2002.25,120327,90118,30210,25.1,1.077,1.145,2002,1
"AL","South",2002.5,121798,90896,30902,25.4,1.09,1.172,2002,2
"AL","South",2002.75,123363,91515,31848,25.8,1.104,1.209,2002,3
"AL","South",2003,125023,91854,33169,26.5,1.119,1.26,2002,4
"AL","South",2003.25,126736,92140,34596,27.3,1.134,1.318,2003,1
"AL","South",2003.5,128506,92352,36154,28.1,1.15,1.379,2003,2
"AL","South",2003.75,130339,92902,37436,28.7,1.167,1.429,2003,3
"AL","South",2004,132242,94167,38075,28.8,1.184,1.455,2003,4
"AL","South",2004.25,134312,96271,38041,28.3,1.202,1.454,2004,1
"AL","South",2004.5,136634,99023,37611,27.5,1.223,1.439,2004,2
"AL","South",2004.75,139229,101925,37304,26.8,1.246,1.429,2004,3
"AL","South",2005,142081,104504,37577,26.4,1.272,1.441,2004,4
"AL","South",2005.25,145214,106366,38848,26.8,1.3,1.491,2005,1
"AL","South",2005.5,148632,107850,40782,27.4,1.33,1.567,2005,2
"AL","South",2005.75,152334,109359,42975,28.2,1.364,1.654,2005,3
"AL","South",2006,156229,111300,44929,28.8,1.398,1.733,2005,4
"AL","South",2006.25,160127,113857,46270,28.9,1.433,1.789,2006,1
"AL","South",2006.5,163828,116732,47097,28.7,1.467,1.824,2006,2
"AL","South",2006.75,167193,119431,47762,28.6,1.497,1.854,2006,3
"AL","South",2007,170125,121450,48675,28.6,1.523,1.893,2006,4
"AL","South",2007.25,172520,122589,49931,28.9,1.544,1.948,2007,1
"AL","South",2007.5,174309,123111,51197,29.4,1.56,2.001,2007,2
"AL","South",2007.75,175428,123653,51775,29.5,1.57,2.027,2007,3
"AL","South",1977.75,31160,28398,2762,8.9,0.279,0.001,1977,3
"AL","South",1978,32038,28965,3073,9.6,0.287,0.001,1977,4
"AL","South",1978.25,32932,29501,3432,10.4,0.295,0.001,1978,1
"AL","South",1978.5,33887,30014,3874,11.4,0.303,0.001,1978,2
"AL","South",1978.75,34903,30555,4348,12.5,0.312,0.001,1978,3
"AL","South",1979,35877,31171,4707,13.1,0.321,0.001,1978,4
"AL","South",1979.25,36794,31897,4898,13.3,0.329,0.001,1979,1
"AL","South",1979.5,37622,32710,4912,13.1,0.337,0.001,1979,2
"AL","South",1979.75,38364,33571,4793,12.5,0.343,0.001,1979,3
"AL","South",1980,39021,34444,4577,11.7,0.349,0.001,1979,4
"AL","South",1980.25,39571,35251,4320,10.9,0.354,0.001,1980,1
"AL","South",1980.5,40193,36022,4171,10.4,0.36,0.001,1980,2
"AL","South",1980.75,40879,36743,4136,10.1,0.366,0.001,1980,3
"AL","South",1981,41487,37401,4086,9.8,0.371,0.001,1980,4
"AL","South",1981.25,42014,38023,3990,9.5,0.376,0.001,1981,1
"AL","South",1981.5,42480,38610,3870,9.1,0.38,0.001,1981,2
"AL","South",1981.75,42853,39212,3641,8.5,0.384,0.001,1981,3
"AL","South",1982,43112,39874,3238,7.5,0.386,0.001,1981,4
"AL","South",1982.25,43381,40603,2778,6.4,0.388,0.001,1982,1
"AL","South",1982.5,43764,41369,2395,5.5,0.392,0.001,1982,2
"AL","South",1982.75,44318,42102,2216,5,0.397,0.001,1982,3
"AL","South",1983,45043,42791,2252,5,0.403,0.001,1982,4
"AL","South",1983.25,45803,43512,2290,5,0.41,0.001,1983,1
"AL","South",1983.5,46540,44213,2327,5,0.417,0.001,1983,2
"AL","South",1983.75,47302,44937,2365,5,0.423,0.001,1983,3
"AL","South",1984,48088,45684,2404,5,0.43,0.001,1983,4
"AL","South",1984.25,48919,46473,2446,5,0.438,0.002,1984,1
"AL","South",1984.5,49676,47192,2484,5,0.445,0.002,1984,2
"AL","South",1984.75,50368,47850,2518,5,0.451,0.002,1984,3
"AL","South",1985,50986,48436,2549,5,0.456,0.003,1984,4
"AL","South",1985.25,51646,49064,2582,5,0.462,0.003,1985,1
"AL","South",1985.5,52429,49808,2621,5,0.469,0.004,1985,2
"AL","South",2008.5,175371,129862,45509,25.9,1.57,1.79,2008,2
"AL","South",2008.75,174720,132691,42030,24.1,1.564,1.654,2008,3
"AL","South",2009,174088,134908,39180,22.5,1.558,1.543,2008,4
"AL","South",2009.25,173553,135608,37945,21.9,1.554,1.495,2009,1
"AL","South",2009.5,172968,135247,37720,21.8,1.548,1.487,2009,2
"AL","South",2009.75,172175,133973,38202,22.2,1.541,1.506,2009,3
"AL","South",2010,171089,131942,39147,22.9,1.532,1.543,2009,4
"AL","South",2010.25,169370,130606,38764,22.9,1.516,1.526,2010,1
"AL","South",2010.5,167278,129900,37378,22.3,1.497,1.471,2010,2
"AL","South",2010.75,165080,130937,34143,20.7,1.478,1.345,2010,3
"AL","South",2011,163046,134877,28169,17.3,1.46,1.11,2010,4
"AL","South",2008,175915,124824,51091,29,1.575,2.004,2007,4
"AL","South",2008.25,175841,127038,48803,27.8,1.574,1.917,2008,1
"AL","South",2011.75,161417,146212,15205,9.4,1.445,0.601,2011,3
"AL","South",2012,162626,146227,16399,10.1,1.456,0.649,2011,4
"AL","South",2012.25,164409,146245,18164,11,1.472,0.719,2012,1
"AL","South",2012.5,166454,146265,20189,12.1,1.49,0.8,2012,2
"AL","South",2012.75,168519,146289,22231,13.2,1.509,0.882,2012,3
"AL","South",2013,170671,146315,24357,14.3,1.528,0.967,2012,4
"AL","South",2013.25,172864,146343,26521,15.3,1.547,1.054,2013,1
"AL","South",2011.25,161583,139701,21881,13.5,1.446,0.864,2011,1
"AL","South",2011.5,161018,144747,16271,10.1,1.441,0.643,2011,2
"AR","South",1983.25,42813,40673,2141,5,0.443,0,1983,1
"AR","South",1982.5,40142,38135,2007,5,0.416,0,1982,2
"AR","South",1982.75,40942,38895,2047,5,0.424,0,1982,3
"AR","South",1983,41848,39756,2092,5,0.433,0,1982,4
"AR","South",1984.25,45967,43669,2298,5,0.476,0.001,1984,1
"AR","South",1983.5,43768,41580,2188,5,0.453,0,1983,2
"AR","South",1983.75,44630,42398,2231,5,0.462,0.001,1983,3
"AR","South",1984,45360,43092,2268,5,0.47,0.001,1983,4
"AR","South",1975.25,20050,19047,1002,5,0.208,0,1975,1
"AR","South",1975.5,20234,19223,1012,5,0.21,0,1975,2
"AR","South",1975.75,20524,19497,1026,5,0.213,0,1975,3
"AR","South",1976,20939,19892,1047,5,0.217,0,1975,4
"AR","South",1976.25,21530,20453,1076,5,0.223,0,1976,1
"AR","South",1976.5,22232,21120,1112,5,0.23,0,1976,2
"AR","South",1976.75,22976,21828,1149,5,0.238,0,1976,3
"AR","South",1977,23721,22535,1186,5,0.246,0,1976,4
"AR","South",1977.25,24472,23248,1224,5,0.253,0,1977,1
"AR","South",1977.5,25251,23988,1263,5,0.262,0,1977,2
"AR","South",1977.75,26058,24756,1303,5,0.27,0,1977,3
"AR","South",1978,26871,25528,1344,5,0.278,0,1977,4
"AR","South",1978.25,27684,26300,1384,5,0.287,0,1978,1
"AR","South",1978.5,28550,26942,1608,5.6,0.296,0,1978,2
"AR","South",1978.75,29511,27498,2013,6.8,0.306,0,1978,3
"AR","South",1979,30588,28171,2417,7.9,0.317,0,1978,4
"AR","South",1979.25,31794,28967,2827,8.9,0.329,0,1979,1
"AR","South",1979.5,33027,29858,3169,9.6,0.342,0,1979,2
"AR","South",1979.75,34202,30775,3427,10,0.354,0,1979,3
"AR","South",1980,35239,31649,3590,10.2,0.365,0,1979,4
"AR","South",1980.25,36139,32393,3746,10.4,0.374,0,1980,1
"AR","South",1980.5,36972,33055,3917,10.6,0.383,0,1980,2
"AR","South",1980.75,37739,33664,4075,10.8,0.391,0,1980,3
"AR","South",1981,38354,34251,4103,10.7,0.397,0,1980,4
"AR","South",1981.25,38763,34873,3889,10,0.401,0,1981,1
"AR","South",1981.5,38976,35505,3471,8.9,0.404,0,1981,2
"AR","South",1981.75,39098,36153,2945,7.5,0.405,0,1981,3
"AR","South",1982,39221,36821,2399,6.1,0.406,0,1981,4
"AR","South",1982.25,39550,37483,2068,5.2,0.41,0,1982,1
"AR","South",1992.25,61380,58311,3069,5,0.636,0.015,1992,1
"AR","South",1992.5,62224,59113,3111,5,0.644,0.018,1992,2
"AR","South",1992.75,63165,60007,3158,5,0.654,0.022,1992,3
"AR","South",1993,64220,61009,3211,5,0.665,0.028,1992,4
"AR","South",1993.25,65399,62129,3270,5,0.677,0.037,1993,1
"AR","South",1993.5,66669,63336,3333,5,0.69,0.048,1993,2
"AR","South",1993.75,67992,64592,3400,5,0.704,0.063,1993,3
"AR","South",1994,69332,65865,3467,5,0.718,0.081,1993,4
"AR","South",1994.25,70684,67150,3534,5,0.732,0.103,1994,1
"AR","South",1994.5,71985,68385,3599,5,0.746,0.128,1994,2
"AR","South",1994.75,73231,69569,3662,5,0.758,0.157,1994,3
"AR","South",1995,74441,70719,3722,5,0.771,0.196,1994,4
"AR","South",1995.25,75599,71707,3892,5.1,0.783,0.245,1995,1
"AR","South",1995.5,76727,71887,4840,6.3,0.795,0.305,1995,2
"AR","South",1995.75,77804,72124,5680,7.3,0.806,0.358,1995,3
"AR","South",1996,78800,72528,6272,8,0.816,0.396,1995,4
"AR","South",1996.25,79722,73137,6584,8.3,0.826,0.416,1996,1
"AR","South",1996.5,80579,73890,6689,8.3,0.835,0.423,1996,2
"AR","South",1996.75,81391,74642,6749,8.3,0.843,0.428,1996,3
"AR","South",1997,82203,75256,6947,8.5,0.851,0.441,1996,4
"AR","South",1997.25,83021,75631,7390,8.9,0.86,0.47,1997,1
"AR","South",1997.5,83837,75862,7975,9.5,0.868,0.508,1997,2
"AR","South",1997.75,84664,76078,8586,10.1,0.877,0.548,1997,3
"AR","South",1998,85521,76408,9113,10.7,0.886,0.583,1997,4
"AR","South",1998.25,86419,76957,9462,10.9,0.895,0.607,1998,1
"AR","South",1998.5,87389,77628,9762,11.2,0.905,0.627,1998,2
"AR","South",1998.75,88463,78308,10155,11.5,0.916,0.654,1998,3
"AR","South",1999,89582,78883,10700,11.9,0.928,0.69,1998,4
"AR","South",1999.25,90728,79260,11468,12.6,0.94,0.742,1999,1
"AR","South",1999.5,91884,79515,12369,13.5,0.952,0.801,1999,2
"AR","South",1999.75,93040,79747,13292,14.3,0.964,0.862,1999,3
"AR","South",2000,94196,80060,14137,15,0.976,0.918,1999,4
"AR","South",2000.25,95360,80542,14818,15.5,0.988,0.962,2000,1
"AR","South",2000.5,96557,81183,15374,15.9,1,1,2000,2
"AR","South",2000.75,97768,81902,15866,16.2,1.013,1.034,2000,3
"AR","South",2001,99013,82645,16367,16.5,1.025,1.069,2000,4
"AR","South",2001.25,100293,83398,16894,16.8,1.039,1.11,2001,1
"AR","South",2001.5,101600,84101,17499,17.2,1.052,1.152,2001,2
"AR","South",2001.75,102967,84831,18136,17.6,1.066,1.196,2001,3
"AR","South",2002,104397,85624,18773,18,1.081,1.24,2001,4
"AR","South",2002.25,105919,86377,19543,18.5,1.097,1.29,2002,1
"AR","South",2002.5,107543,87158,20385,19,1.114,1.347,2002,2
"AR","South",2002.75,109256,87810,21446,19.6,1.132,1.418,2002,3
"AR","South",2003,111085,88209,22876,20.6,1.15,1.515,2002,4
"AR","South",2003.25,113053,88526,24527,21.7,1.171,1.629,2003,1
